Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1995-04-04,23.50,23.75,22.50,23.625,40387200,2.512887,ABC
1995-04-05,23.25,23.75,22.75,22.75,12236800,2.419817,ABC
1995-04-06,22.75,23.50,22.75,23.125,3776000,2.459704,ABC
1995-04-07,23.25,23.25,22.75,22.75,1920800,2.419817,ABC
1995-04-10,22.75,23.25,22.75,23.00,2047200,2.446409,ABC
1995-04-11,22.75,23.25,22.75,22.875,4096800,2.433113,ABC
1995-04-12,22.75,23.00,22.75,22.875,2457600,2.433113,ABC
1995-04-13,22.75,23.00,22.75,23.00,2297600,2.446409,ABC
1995-04-17,22.75,23.625,22.75,23.625,2233600,2.512887,ABC
1995-04-18,23.125,23.625,23.00,23.50,2441600,2.499592,ABC
1995-04-19,23.00,23.25,22.50,22.75,1422400,2.419817,ABC
1995-04-20,22.50,22.50,21.75,21.875,1023200,2.326747,ABC
1995-04-21,21.75,22.50,21.75,22.375,2803200,2.37993,ABC
1995-04-24,22.00,22.50,22.00,22.00,644800,2.340043,ABC
1995-04-25,22.00,22.50,22.00,22.50,484800,2.393226,ABC
1995-04-26,22.00,22.50,22.00,22.00,151200,2.340043,ABC
1995-04-27,22.00,22.50,22.00,22.25,3552000,2.366635,ABC
1995-04-28,22.25,22.50,22.125,22.125,1076000,2.353339,ABC
1995-05-01,22.50,22.50,22.125,22.125,2287200,2.353339,ABC
1995-05-02,22.125,23.125,22.125,22.75,1212000,2.419817,ABC
1995-05-03,22.50,23.125,22.25,22.875,791200,2.433113,ABC
1995-05-04,22.75,23.125,22.50,22.50,1011200,2.393226,ABC
1995-05-05,22.50,23.00,22.50,22.50,164000,2.393226,ABC
1995-05-08,22.50,23.125,22.50,22.50,59200,2.393226,ABC
1995-05-09,22.50,22.75,21.875,22.00,592800,2.340043,ABC
1995-05-10,22.50,22.50,21.875,22.00,817600,2.340043,ABC
1995-05-11,22.00,22.50,21.875,22.00,615200,2.340043,ABC
1995-05-12,22.50,22.50,21.875,22.00,1013600,2.340043,ABC
1995-05-15,22.375,22.375,21.625,21.625,3689600,2.300156,ABC
1995-05-16,21.625,21.875,21.625,21.75,2481600,2.313452,ABC
1995-05-17,21.875,21.875,21.625,21.6875,328000,2.306804,ABC
1995-05-18,21.625,21.75,20.75,21.125,514400,2.246973,ABC
1995-05-19,21.00,21.125,20.75,20.875,1853600,2.220382,ABC
1995-05-22,21.125,21.25,20.75,21.25,432800,2.260269,ABC
1995-05-23,20.75,22.125,20.75,22.00,809600,2.340043,ABC
1995-05-24,21.75,22.50,21.75,22.50,1676800,2.393226,ABC
1995-05-25,22.50,22.50,21.75,22.50,209600,2.393226,ABC
1995-05-26,22.50,22.50,21.75,22.50,64000,2.393226,ABC
1995-05-30,22.25,22.75,21.75,22.25,558400,2.366635,ABC
1995-05-31,22.625,22.75,22.25,22.75,487200,2.419817,ABC
1995-06-01,22.875,24.00,22.50,23.00,1427200,2.446409,ABC
1995-06-02,23.00,24.50,23.00,24.00,1112800,2.552774,ABC
1995-06-05,24.00,24.50,24.00,24.125,799200,2.56607,ABC
1995-06-06,24.50,24.50,24.00,24.00,264800,2.552774,ABC
1995-06-07,24.00,24.50,23.75,24.25,469600,2.579366,ABC
1995-06-08,24.25,24.25,23.50,23.50,68000,2.499592,ABC
1995-06-09,24.00,24.00,23.50,23.75,249600,2.526183,ABC
1995-06-12,23.50,24.00,23.50,24.00,95200,2.552774,ABC
1995-06-13,24.00,24.00,23.50,23.50,504800,2.499592,ABC
1995-06-14,23.50,23.50,23.00,23.50,649600,2.499592,ABC
1995-06-15,23.00,23.50,23.00,23.125,700800,2.459704,ABC
1995-06-16,23.50,23.50,23.00,23.25,432000,2.473,ABC
1995-06-19,23.00,24.00,23.00,24.00,398400,2.552774,ABC
1995-06-20,24.25,24.25,23.50,23.50,120800,2.499592,ABC
1995-06-21,23.75,24.50,23.50,24.00,1254400,2.552774,ABC
1995-06-22,24.00,24.50,23.875,23.875,284800,2.539479,ABC
1995-06-23,23.75,24.25,23.50,24.25,276800,2.579366,ABC
1995-06-26,24.25,24.25,23.50,23.875,39200,2.539479,ABC
1995-06-27,24.25,24.25,23.50,23.75,632000,2.526183,ABC
1995-06-28,23.50,24.25,23.50,23.50,495200,2.499592,ABC
1995-06-29,23.50,24.25,23.00,23.00,940800,2.446409,ABC
1995-06-30,23.25,23.25,22.75,22.8125,737600,2.426465,ABC
1995-07-03,22.75,23.00,22.50,22.50,96800,2.393226,ABC
1995-07-05,23.25,23.25,22.50,22.50,228800,2.393226,ABC
1995-07-06,23.25,23.25,22.25,22.50,1457600,2.393226,ABC
1995-07-07,22.50,23.00,22.50,23.00,199200,2.446409,ABC
1995-07-10,22.75,23.25,22.25,22.50,1148000,2.393226,ABC
1995-07-11,22.75,22.75,22.25,22.50,418400,2.393226,ABC
1995-07-12,22.25,23.00,22.25,23.00,1061600,2.446409,ABC
1995-07-13,22.50,23.00,22.25,22.875,2342400,2.433113,ABC
1995-07-14,22.75,22.75,22.25,22.375,420800,2.37993,ABC
1995-07-17,22.25,22.75,22.25,22.75,941600,2.419817,ABC
1995-07-18,22.25,22.75,22.00,22.25,119200,2.366635,ABC
1995-07-19,21.75,22.25,21.75,21.75,28800,2.313452,ABC
1995-07-20,22.00,22.00,21.25,21.50,62400,2.28686,ABC
1995-07-21,21.25,22.00,21.25,21.375,53600,2.273565,ABC
1995-07-24,22.25,22.75,21.25,22.75,757600,2.419817,ABC
1995-07-25,22.875,23.00,22.25,22.625,179200,2.406522,ABC
1995-07-26,23.00,23.00,22.25,22.25,5600,2.366635,ABC
1995-07-27,22.25,23.00,22.25,23.00,916000,2.446409,ABC
1995-07-28,23.00,23.00,22.25,22.25,63200,2.366635,ABC
1995-07-31,22.375,22.75,22.25,22.25,31200,2.366635,ABC
1995-08-01,22.25,22.25,21.875,22.25,84800,2.366635,ABC
1995-08-02,21.6875,21.875,20.75,21.00,7999200,2.233678,ABC
1995-08-03,20.875,21.25,20.75,21.25,2161600,2.260269,ABC
1995-08-04,21.25,21.25,20.75,21.25,1005600,2.260269,ABC
1995-08-07,21.50,21.50,20.875,20.875,1212800,2.220382,ABC
1995-08-08,21.125,21.50,20.25,20.25,157600,2.153903,ABC
1995-08-09,20.75,20.75,19.75,20.50,3574400,2.180495,ABC
1995-08-10,20.50,20.50,19.75,20.00,168000,2.127312,ABC
1995-08-11,20.50,20.50,20.00,20.125,289600,2.140608,ABC
1995-08-14,20.375,20.50,20.00,20.50,150400,2.180495,ABC
1995-08-15,20.00,20.50,20.00,20.50,596800,2.180495,ABC
1995-08-16,21.00,21.75,20.50,21.75,1267200,2.313452,ABC
1995-08-17,21.50,23.00,21.50,22.875,2328800,2.433113,ABC
1995-08-18,23.00,23.25,22.25,23.25,368000,2.473,ABC
1995-08-21,23.25,23.25,22.875,23.00,1081600,2.446409,ABC
1995-08-22,23.00,23.25,22.75,22.75,442400,2.419817,ABC
1995-08-23,22.75,22.75,22.00,22.00,252000,2.340043,ABC
1995-08-24,22.00,22.75,22.00,22.50,229600,2.393226,ABC
1995-08-25,22.75,22.75,22.00,22.50,24800,2.393226,ABC
1995-08-28,22.125,22.75,22.00,22.00,108000,2.340043,ABC
1995-08-29,22.00,22.75,22.00,22.375,36000,2.37993,ABC
1995-08-30,22.00,22.75,22.00,22.75,228000,2.419817,ABC
1995-08-31,22.75,22.75,22.25,22.75,50400,2.419817,ABC
1995-09-01,22.25,22.75,22.25,22.625,207200,2.406522,ABC
1995-09-05,22.50,22.75,22.50,22.625,684000,2.406522,ABC
1995-09-06,22.375,22.875,22.375,22.875,587200,2.433113,ABC
1995-09-07,23.50,23.50,22.00,22.00,257600,2.340043,ABC
1995-09-08,22.75,22.75,22.00,22.00,544800,2.340043,ABC
1995-09-11,22.75,22.75,22.00,22.00,570400,2.340043,ABC
1995-09-12,22.375,22.75,22.00,22.375,1880800,2.37993,ABC
1995-09-13,22.75,22.75,22.50,22.75,460800,2.419817,ABC
1995-09-14,22.00,25.75,22.00,25.75,1176000,2.738914,ABC
1995-09-15,25.75,25.75,25.25,25.75,252000,2.738914,ABC
1995-09-18,25.25,25.75,24.75,25.50,144800,2.712323,ABC
1995-09-19,25.125,26.25,25.00,26.25,294400,2.792097,ABC
1995-09-20,26.75,27.00,26.25,27.00,469600,2.871871,ABC
1995-09-21,26.75,27.75,26.25,27.75,1646400,2.951645,ABC
1995-09-22,27.00,27.25,27.00,27.00,427200,2.871871,ABC
1995-09-25,26.75,27.25,26.75,27.25,256000,2.898463,ABC
1995-09-26,26.75,27.25,26.75,27.25,808000,2.898463,ABC
1995-09-27,26.75,27.25,26.75,26.875,101600,2.858575,ABC
1995-09-28,26.75,27.00,26.75,27.00,790400,2.871871,ABC
1995-09-29,27.00,27.00,26.75,27.00,103200,2.871871,ABC
1995-10-02,26.00,26.25,25.50,25.625,4956800,2.725618,ABC
1995-10-03,26.25,26.25,25.50,26.25,60000,2.792097,ABC
1995-10-04,25.50,26.25,25.50,25.50,186400,2.712323,ABC
1995-10-05,25.50,26.00,25.50,26.00,155200,2.765506,ABC
1995-10-06,26.00,26.25,25.50,26.25,85600,2.792097,ABC
1995-10-09,26.25,26.25,25.50,25.75,230400,2.738914,ABC
1995-10-10,25.25,26.00,25.25,25.25,466400,2.685731,ABC
1995-10-11,26.00,26.00,25.25,25.25,168000,2.685731,ABC
1995-10-12,26.00,26.00,25.25,26.00,76800,2.765506,ABC
1995-10-13,26.00,26.00,25.50,25.625,405600,2.725618,ABC
1995-10-16,25.625,26.25,25.25,26.00,496000,2.765506,ABC
1995-10-17,25.625,26.25,25.50,25.50,301600,2.712323,ABC
1995-10-18,26.25,26.25,25.25,25.50,298400,2.712323,ABC
1995-10-19,25.50,26.25,25.50,25.50,23200,2.712323,ABC
1995-10-20,25.50,26.25,25.25,26.00,1621600,2.765506,ABC
1995-10-23,25.25,26.00,25.25,26.00,309600,2.765506,ABC
1995-10-24,26.00,26.25,25.50,26.25,609600,2.792097,ABC
1995-10-25,26.25,26.25,25.50,26.25,2430400,2.792097,ABC
1995-10-26,26.25,27.00,26.25,27.00,193600,2.871871,ABC
1995-10-27,26.75,27.75,26.75,27.50,966400,2.925054,ABC
1995-10-30,27.75,27.75,27.00,27.375,476800,2.911758,ABC
1995-10-31,27.75,27.75,27.00,27.25,407200,2.898463,ABC
1995-11-01,28.00,28.50,27.25,28.50,314400,3.03142,ABC
1995-11-02,28.50,29.00,28.00,29.00,364800,3.084602,ABC
1995-11-03,30.00,30.00,29.00,29.75,642400,3.164377,ABC
1995-11-06,29.75,29.75,29.00,29.00,68000,3.084602,ABC
1995-11-07,28.50,29.00,28.50,29.00,2933600,3.084602,ABC
1995-11-08,28.50,29.00,28.25,29.00,753600,3.084602,ABC
1995-11-09,29.00,29.50,29.00,29.375,284800,3.124489,ABC
1995-11-10,29.00,30.00,29.00,30.00,1120000,3.190968,ABC
1995-11-13,30.00,30.00,29.50,29.50,44800,3.137785,ABC
1995-11-14,30.00,30.25,29.50,30.25,94400,3.217559,ABC
1995-11-15,30.25,30.25,29.50,29.75,279200,3.164377,ABC
1995-11-16,29.75,29.75,29.25,29.50,816800,3.137785,ABC
1995-11-17,29.50,29.75,29.50,29.75,12800,3.164377,ABC
1995-11-20,29.75,29.75,29.25,29.25,255200,3.111194,ABC
1995-11-21,29.625,29.75,29.375,29.75,260800,3.164377,ABC
1995-11-22,29.75,29.75,29.25,29.4375,285600,3.131137,ABC
1995-11-24,29.75,29.75,29.0625,29.25,92800,3.111194,ABC
1995-11-27,28.50,29.25,28.50,28.50,236800,3.03142,ABC
1995-11-28,29.25,29.25,28.50,29.00,206400,3.084602,ABC
1995-11-29,29.00,29.00,28.50,29.00,93600,3.084602,ABC
1995-11-30,28.50,29.00,28.50,29.00,159200,3.084602,ABC
1995-12-01,29.00,29.50,29.00,29.50,63200,3.137785,ABC
1995-12-04,29.00,29.50,29.00,29.50,632800,3.137785,ABC
1995-12-05,29.00,29.75,29.00,29.25,87200,3.111194,ABC
1995-12-06,29.00,30.25,29.00,30.25,189600,3.217559,ABC
1995-12-07,30.50,30.50,30.25,30.50,45600,3.244151,ABC
1995-12-08,30.50,31.50,30.50,31.50,532800,3.350516,ABC
1995-12-11,32.25,32.75,32.00,32.75,266400,3.483473,ABC
1995-12-12,32.75,33.50,32.25,33.50,810400,3.563248,ABC
1995-12-13,33.50,33.75,32.75,32.75,192000,3.483473,ABC
1995-12-14,33.00,33.00,31.75,31.75,616000,3.377108,ABC
1995-12-15,31.875,32.50,31.75,32.375,371200,3.443586,ABC
1995-12-18,32.50,32.50,31.75,32.00,18400,3.403699,ABC
1995-12-19,31.75,32.25,31.75,32.25,445600,3.430291,ABC
1995-12-20,31.75,32.25,31.75,31.75,195200,3.377108,ABC
1995-12-21,32.25,32.25,31.50,31.50,400800,3.350516,ABC
1995-12-22,32.00,32.00,31.50,31.50,36000,3.350516,ABC
1995-12-26,31.50,32.00,31.50,31.75,51200,3.377108,ABC
