Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1984-06-20,14.75,15.00,14.75,14.75,2004000,0.727418,AJG
1984-06-21,14.75,14.75,14.25,14.25,626400,0.70276,AJG
1984-06-22,14.25,14.50,14.25,14.25,229600,0.70276,AJG
1984-06-25,14.25,14.50,14.00,14.00,102400,0.690431,AJG
1984-06-26,14.00,14.00,13.75,13.75,129600,0.678102,AJG
1984-06-27,14.00,14.25,14.00,14.00,213600,0.690431,AJG
1984-06-28,14.00,14.25,14.00,14.00,212000,0.690431,AJG
1984-06-29,14.50,15.00,14.50,14.50,208000,0.715089,AJG
1984-07-02,14.50,15.00,14.50,14.50,144800,0.715089,AJG
1984-07-03,14.50,15.00,14.50,14.50,48000,0.715089,AJG
1984-07-05,14.75,15.25,14.75,14.75,108000,0.727418,AJG
1984-07-06,14.75,15.25,14.75,14.75,2400,0.727418,AJG
1984-07-09,14.75,15.00,14.75,14.75,76800,0.727418,AJG
1984-07-10,14.75,15.25,14.75,14.75,89600,0.727418,AJG
1984-07-11,14.75,15.25,14.75,14.75,82400,0.727418,AJG
1984-07-12,14.75,15.00,14.50,14.50,58400,0.715089,AJG
1984-07-13,14.50,15.00,14.50,14.50,323200,0.715089,AJG
1984-07-16,14.50,15.00,14.50,14.50,32000,0.715089,AJG
1984-07-17,14.50,15.00,14.50,14.50,334400,0.715089,AJG
1984-07-18,14.50,15.00,14.50,14.50,420800,0.715089,AJG
1984-07-19,14.50,15.00,14.50,14.50,404000,0.715089,AJG
1984-07-20,14.50,15.00,14.50,14.50,53600,0.715089,AJG
1984-07-23,14.75,15.25,14.75,14.75,153600,0.727418,AJG
1984-07-24,15.00,15.75,15.00,15.00,82400,0.739747,AJG
1984-07-25,15.00,15.75,15.00,15.00,2400,0.739747,AJG
1984-07-26,15.75,16.25,15.75,15.75,147200,0.776735,AJG
1984-07-27,16.25,17.00,16.25,16.25,128000,0.801393,AJG
1984-07-30,16.25,17.00,16.25,16.25,153600,0.801393,AJG
1984-07-31,16.25,17.00,16.25,16.25,131200,0.801393,AJG
1984-08-01,16.25,17.00,16.25,16.25,124000,0.801393,AJG
1984-08-02,16.75,17.25,16.75,16.75,103200,0.826051,AJG
1984-08-03,17.00,17.75,17.00,17.00,72000,0.83838,AJG
1984-08-06,17.25,18.00,17.25,17.25,52000,0.850709,AJG
1984-08-07,17.25,18.00,17.25,17.25,24000,0.850709,AJG
1984-08-08,17.75,18.25,17.75,17.75,19200,0.875368,AJG
1984-08-09,17.75,18.25,17.75,17.75,40000,0.875368,AJG
1984-08-10,18.00,18.50,18.00,18.00,19200,0.887697,AJG
1984-08-13,18.00,18.50,18.00,18.00,160800,0.887697,AJG
1984-08-14,18.00,18.50,18.00,18.00,80000,0.887697,AJG
1984-08-15,18.00,18.50,18.00,18.00,75200,0.887697,AJG
1984-08-16,18.25,19.00,18.25,18.25,68000,0.900026,AJG
1984-08-17,18.75,19.25,18.75,18.75,166400,0.924684,AJG
1984-08-20,19.00,19.50,19.00,19.00,40000,0.937013,AJG
1984-08-21,19.25,19.50,19.25,19.25,52800,0.949342,AJG
1984-08-22,19.50,20.00,19.50,19.50,223200,0.961671,AJG
1984-08-23,19.75,20.25,19.75,19.75,57600,0.974001,AJG
1984-08-24,19.75,20.50,19.75,19.75,800,0.974001,AJG
1984-08-27,19.75,19.75,19.75,19.75,000,0.974001,AJG
1984-08-28,20.00,20.50,20.00,20.00,9600,0.98633,AJG
1984-08-29,21.00,21.50,21.00,21.00,477600,1.035646,AJG
1984-08-30,21.25,21.75,21.25,21.25,12800,1.047975,AJG
1984-08-31,21.25,22.00,21.25,21.25,3200,1.047975,AJG
1984-09-04,21.25,22.00,21.25,21.25,68800,1.047975,AJG
1984-09-05,21.25,21.75,21.25,21.25,31200,1.047975,AJG
1984-09-06,21.25,22.00,21.25,21.25,729600,1.047975,AJG
1984-09-07,21.50,22.00,21.50,21.50,170400,1.060304,AJG
1984-09-10,21.50,22.00,21.50,21.50,107200,1.060304,AJG
1984-09-11,21.50,22.00,21.50,21.50,4800,1.060304,AJG
1984-09-12,21.50,22.00,21.50,21.50,10400,1.060304,AJG
1984-09-13,21.50,22.00,21.50,21.50,31200,1.060304,AJG
1984-09-14,21.50,22.00,21.50,21.50,12000,1.060304,AJG
1984-09-17,21.75,22.25,21.75,21.75,25600,1.072634,AJG
1984-09-18,21.75,22.50,21.75,21.75,108800,1.072634,AJG
1984-09-19,21.75,22.50,21.75,21.75,40000,1.072634,AJG
1984-09-20,21.75,22.25,21.75,21.75,81600,1.072634,AJG
1984-09-21,24.25,24.75,24.25,24.25,404800,1.195925,AJG
1984-09-24,24.25,24.75,24.25,24.25,104000,1.195925,AJG
1984-09-25,24.25,24.75,24.25,24.25,60000,1.195925,AJG
1984-09-26,24.25,24.75,24.25,24.25,41600,1.195925,AJG
1984-09-27,24.25,24.75,24.25,24.25,12000,1.195925,AJG
1984-09-28,24.25,24.75,24.25,24.25,29600,1.195925,AJG
1984-10-01,24.25,24.75,24.25,24.25,187200,1.195925,AJG
1984-10-02,24.50,25.00,24.50,24.50,16800,1.208254,AJG
1984-10-03,24.50,25.00,24.50,24.50,10400,1.208254,AJG
1984-10-04,24.50,25.00,24.50,24.50,200000,1.208254,AJG
1984-10-05,24.50,24.50,24.50,24.50,000,1.208254,AJG
1984-10-08,24.50,24.50,24.50,24.50,000,1.208254,AJG
1984-10-09,24.50,25.00,24.50,24.50,800,1.208254,AJG
1984-10-10,24.50,24.75,24.50,24.50,5600,1.208254,AJG
1984-10-11,24.50,24.75,24.50,24.50,18400,1.208254,AJG
1984-10-12,24.50,24.75,24.50,24.50,2400,1.208254,AJG
1984-10-15,24.75,25.25,24.75,24.75,10400,1.220583,AJG
1984-10-16,24.75,25.25,24.75,24.75,800,1.220583,AJG
1984-10-17,25.00,25.50,25.00,25.00,32000,1.232912,AJG
1984-10-18,25.00,25.50,25.00,25.00,14400,1.232912,AJG
1984-10-19,25.00,25.00,25.00,25.00,000,1.232912,AJG
1984-10-22,25.00,25.50,25.00,25.00,3200,1.232912,AJG
1984-10-23,25.25,25.75,25.25,25.25,9600,1.245241,AJG
1984-10-24,26.00,26.50,26.00,26.00,336800,1.282229,AJG
1984-10-25,26.75,27.25,26.75,26.75,363200,1.319216,AJG
1984-10-26,26.50,26.50,26.00,26.00,142400,1.282229,AJG
1984-10-29,26.00,26.25,25.75,25.75,20000,1.269899,AJG
1984-10-30,25.75,26.50,25.75,25.75,60800,1.269899,AJG
1984-10-31,26.00,26.50,26.00,26.00,235200,1.282229,AJG
1984-11-01,26.25,26.75,26.25,26.25,4000,1.294558,AJG
1984-11-02,26.25,26.75,26.25,26.25,13600,1.294558,AJG
1984-11-05,26.25,26.75,26.25,26.25,4000,1.294558,AJG
1984-11-06,26.25,26.75,26.25,26.25,4000,1.294558,AJG
1984-11-07,26.50,26.75,26.50,26.50,28000,1.306887,AJG
1984-11-08,27.00,27.50,27.00,27.00,448800,1.331545,AJG
1984-11-09,27.00,27.25,26.75,26.75,28000,1.319216,AJG
1984-11-12,26.75,27.25,26.75,26.75,336000,1.319216,AJG
1984-11-13,26.75,27.25,26.75,26.75,443200,1.319216,AJG
1984-11-14,27.00,27.25,27.00,27.00,132000,1.331545,AJG
1984-11-15,27.00,27.25,27.00,27.00,10400,1.331545,AJG
1984-11-16,27.00,27.25,27.00,27.00,12800,1.331545,AJG
1984-11-19,27.00,27.50,27.00,27.00,99200,1.331545,AJG
1984-11-20,27.25,27.75,27.25,27.25,130400,1.343874,AJG
1984-11-21,27.25,27.75,27.25,27.25,15200,1.343874,AJG
1984-11-23,27.25,27.75,27.25,27.25,3200,1.343874,AJG
1984-11-26,27.25,27.75,27.25,27.25,98400,1.343874,AJG
1984-11-27,27.25,27.75,27.25,27.25,16000,1.343874,AJG
1984-11-28,27.25,27.75,27.25,27.25,13600,1.343874,AJG
1984-11-29,27.25,27.75,27.25,27.25,122400,1.343874,AJG
1984-11-30,27.25,27.75,27.25,27.25,40000,1.343874,AJG
1984-12-03,27.25,27.50,27.25,27.25,800,1.343874,AJG
1984-12-04,27.25,27.50,27.25,27.25,20000,1.343874,AJG
1984-12-05,27.25,27.50,27.25,27.25,76800,1.343874,AJG
1984-12-06,27.25,27.50,27.25,27.25,80000,1.343874,AJG
1984-12-07,27.25,27.50,27.25,27.25,4000,1.343874,AJG
1984-12-10,27.25,27.50,27.25,27.25,16000,1.343874,AJG
1984-12-11,27.25,27.75,27.25,27.25,659200,1.343874,AJG
1984-12-12,27.25,27.75,27.25,27.25,3200,1.343874,AJG
1984-12-13,27.25,27.75,27.25,27.25,12000,1.343874,AJG
1984-12-14,27.25,27.75,27.25,27.25,4000,1.343874,AJG
1984-12-17,27.25,27.75,27.25,27.25,800,1.343874,AJG
1984-12-18,27.75,28.25,27.75,27.75,31200,1.368532,AJG
1984-12-19,27.75,28.50,27.75,27.75,12800,1.368532,AJG
1984-12-20,28.00,28.50,28.00,28.00,16000,1.380862,AJG
1984-12-21,28.00,28.50,28.00,28.00,31200,1.380862,AJG
1984-12-24,28.00,28.00,28.00,28.00,000,1.380862,AJG
1984-12-26,28.00,28.50,28.00,28.00,20000,1.380862,AJG
1984-12-27,28.00,28.75,28.00,28.00,4000,1.380862,AJG
1984-12-28,28.50,29.00,28.50,28.50,30400,1.40552,AJG
1984-12-31,29.75,30.25,29.75,29.75,64000,1.467165,AJG
1985-01-02,29.75,30.50,29.75,29.75,4800,1.467165,AJG
1985-01-03,30.00,30.50,30.00,30.00,177600,1.479495,AJG
1985-01-04,30.00,30.50,30.00,30.00,41600,1.479495,AJG
1985-01-07,30.00,30.25,30.00,30.00,124000,1.479495,AJG
