Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1980-03-17,3.75,3.875,3.75,3.875,18400,0.771242,ALK
1980-03-18,3.875,3.875,3.75,3.75,3200,0.746363,ALK
1980-03-19,3.875,4.125,3.875,3.875,8800,0.771242,ALK
1980-03-20,3.875,4.00,3.875,3.875,9600,0.771242,ALK
1980-03-21,3.875,3.875,3.75,3.75,12400,0.746363,ALK
1980-03-24,3.75,3.875,3.75,3.875,35200,0.771242,ALK
1980-03-25,3.875,3.875,3.625,3.625,10400,0.721485,ALK
1980-03-26,3.625,3.875,3.625,3.625,56000,0.721485,ALK
1980-03-27,3.50,3.50,3.50,3.50,35600,0.696606,ALK
1980-03-28,3.50,3.75,3.50,3.75,20000,0.746363,ALK
1980-03-31,3.75,3.875,3.75,3.75,10800,0.746363,ALK
1980-04-01,3.875,3.875,3.875,3.875,3600,0.771242,ALK
1980-04-02,3.875,3.875,3.75,3.875,8800,0.771242,ALK
1980-04-03,3.875,4.00,3.75,3.875,16800,0.771242,ALK
1980-04-07,3.875,4.00,3.50,3.50,54000,0.696606,ALK
1980-04-08,3.50,3.625,3.50,3.625,3200,0.721485,ALK
1980-04-09,3.625,3.75,3.625,3.75,13200,0.746363,ALK
1980-04-10,3.75,3.75,3.625,3.75,22400,0.746363,ALK
1980-04-11,3.75,3.75,3.625,3.75,70400,0.746363,ALK
1980-04-14,3.75,3.75,3.375,3.625,72000,0.721485,ALK
1980-04-15,3.625,3.625,3.50,3.50,9200,0.696606,ALK
1980-04-16,3.50,3.625,3.50,3.50,14400,0.696606,ALK
1980-04-17,3.50,3.625,3.375,3.375,379200,0.671727,ALK
1980-04-18,3.50,3.50,3.50,3.50,12800,0.696606,ALK
1980-04-21,3.50,3.625,3.50,3.625,18400,0.721485,ALK
1980-04-22,3.625,3.625,3.50,3.625,28400,0.721485,ALK
1980-04-23,3.625,3.75,3.625,3.75,41200,0.746363,ALK
1980-04-24,3.75,3.75,3.625,3.625,22400,0.721485,ALK
1980-04-25,3.625,3.75,3.625,3.75,26400,0.746363,ALK
1980-04-28,3.75,3.75,3.625,3.625,10800,0.721485,ALK
1980-04-29,3.625,3.625,3.50,3.50,7600,0.696606,ALK
1980-04-30,3.50,3.625,3.50,3.625,10400,0.721485,ALK
1980-05-01,3.625,3.75,3.625,3.75,17600,0.746363,ALK
1980-05-02,3.75,3.875,3.75,3.875,60800,0.771242,ALK
1980-05-05,3.875,3.875,3.75,3.875,48400,0.771242,ALK
1980-05-06,3.875,3.875,3.75,3.75,18400,0.746363,ALK
1980-05-07,3.75,3.875,3.75,3.75,3600,0.746363,ALK
1980-05-08,3.75,3.875,3.75,3.75,6400,0.746363,ALK
1980-05-09,3.75,3.875,3.625,3.625,9600,0.721485,ALK
1980-05-12,3.625,3.75,3.625,3.625,1200,0.721485,ALK
1980-05-13,3.625,3.75,3.625,3.75,15600,0.746363,ALK
1980-05-14,3.75,3.75,3.625,3.625,4000,0.721485,ALK
1980-05-15,3.625,3.75,3.625,3.625,10000,0.721485,ALK
1980-05-16,3.75,3.875,3.75,3.75,7600,0.746363,ALK
1980-05-19,3.75,3.875,3.75,3.875,5600,0.771242,ALK
1980-05-20,3.875,3.875,3.75,3.75,2400,0.746363,ALK
1980-05-21,3.75,3.75,3.75,3.75,16000,0.746363,ALK
1980-05-22,3.75,3.75,3.625,3.75,4800,0.746363,ALK
1980-05-23,3.75,3.75,3.625,3.625,14800,0.721485,ALK
1980-05-27,3.625,3.75,3.625,3.75,6800,0.746363,ALK
1980-05-28,3.75,3.75,3.625,3.625,7200,0.721485,ALK
1980-05-29,3.625,3.75,3.625,3.625,9600,0.721485,ALK
1980-05-30,3.625,3.75,3.625,3.75,7200,0.746363,ALK
1980-06-02,3.75,3.75,3.625,3.625,10400,0.721485,ALK
1980-06-03,3.625,3.625,3.625,3.625,800,0.721485,ALK
1980-06-04,3.625,3.75,3.625,3.75,22800,0.746363,ALK
1980-06-05,3.75,3.75,3.625,3.625,20800,0.721485,ALK
1980-06-06,3.625,3.75,3.625,3.75,16800,0.746363,ALK
1980-06-09,3.75,3.875,3.625,3.75,44800,0.746363,ALK
1980-06-10,3.75,3.75,3.625,3.75,5600,0.746363,ALK
1980-06-11,3.75,3.75,3.625,3.75,18800,0.746363,ALK
1980-06-12,3.75,3.75,3.75,3.75,8800,0.746363,ALK
1980-06-13,3.75,3.75,3.625,3.75,8800,0.746363,ALK
1980-06-16,3.75,3.75,3.625,3.75,16800,0.746363,ALK
1980-06-17,3.75,3.75,3.625,3.625,5600,0.721485,ALK
1980-06-18,3.625,3.75,3.625,3.625,18800,0.721485,ALK
1980-06-19,3.625,3.75,3.625,3.75,29600,0.746363,ALK
1980-06-20,3.75,3.75,3.625,3.75,16000,0.746363,ALK
1980-06-23,3.75,3.75,3.625,3.75,8800,0.746363,ALK
1980-06-24,3.75,3.75,3.625,3.75,11200,0.746363,ALK
1980-06-25,3.75,3.75,3.625,3.75,32000,0.746363,ALK
1980-06-26,3.75,3.875,3.75,3.875,6800,0.771242,ALK
1980-06-27,3.875,3.875,3.75,3.875,4000,0.771242,ALK
