Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1980-03-17,27.50,28.25,27.50,27.50,3584000,0.076438,AMAT
1980-03-18,27.50,27.765599,27.00,27.00,3699200,0.075048,AMAT
1980-03-19,27.50,28.25,27.50,27.50,2009600,0.076438,AMAT
1980-03-20,28.0156,28.765599,28.0156,28.0156,3648000,0.077871,AMAT
1980-03-21,29.015601,29.75,29.015601,29.015601,3008000,0.080651,AMAT
1980-03-24,28.25,28.25,27.50,27.50,2649600,0.076438,AMAT
1980-03-25,27.50,27.50,26.765601,26.765601,4313600,0.074397,AMAT
1980-03-26,24.75,24.75,24.000001,24.000001,3302400,0.06671,AMAT
1980-03-27,23.00,23.00,22.015599,22.015599,9984000,0.061194,AMAT
1980-03-28,24.515601,25.515599,24.515601,24.515601,6118400,0.068143,AMAT
1980-03-31,27.249999,28.25,27.249999,27.249999,6118400,0.075743,AMAT
1980-04-01,27.249999,28.0156,27.00,27.00,3532800,0.075048,AMAT
1980-04-02,17.75,17.75,17.00,17.00,4147200,0.070879,AMAT
1980-04-03,17.50,18.25,17.50,17.50,4646400,0.072964,AMAT
1980-04-07,17.00,17.00,16.25,16.25,934400,0.067752,AMAT
1980-04-08,17.00,17.75,17.00,17.00,1152000,0.070879,AMAT
1980-04-09,17.00,17.50,16.75,16.75,2393600,0.069837,AMAT
1980-04-10,16.75,17.50,16.75,16.75,1152000,0.069837,AMAT
1980-04-11,16.75,17.50,16.75,16.75,1049600,0.069837,AMAT
1980-04-14,16.75,17.50,16.75,16.75,320000,0.069837,AMAT
1980-04-15,16.75,17.25,16.50,16.50,1088000,0.068794,AMAT
1980-04-16,16.50,17.25,16.50,16.50,960000,0.068794,AMAT
1980-04-17,16.50,17.25,16.50,16.50,972800,0.068794,AMAT
1980-04-18,16.75,17.50,16.75,16.75,576000,0.069837,AMAT
1980-04-21,16.75,17.00,16.25,16.25,3494400,0.067752,AMAT
1980-04-22,18.00,18.75,18.00,18.00,4044800,0.075048,AMAT
1980-04-23,18.25,19.00,18.25,18.25,1740800,0.076091,AMAT
1980-04-24,18.75,19.50,18.75,18.75,1049600,0.078175,AMAT
1980-04-25,18.75,19.25,18.50,18.50,2073600,0.077133,AMAT
1980-04-28,18.50,19.25,18.50,18.50,1075200,0.077133,AMAT
1980-04-29,18.75,19.50,18.75,18.75,896000,0.078175,AMAT
1980-04-30,18.75,19.50,18.75,18.75,89600,0.078175,AMAT
1980-05-01,18.75,19.25,18.50,18.50,844800,0.077133,AMAT
1980-05-02,18.50,19.25,18.50,18.50,1164800,0.077133,AMAT
1980-05-05,18.50,19.25,18.50,18.50,627200,0.077133,AMAT
1980-05-06,18.50,19.25,18.50,18.50,192000,0.077133,AMAT
1980-05-07,18.50,19.25,18.50,18.50,10265600,0.077133,AMAT
1980-05-08,18.50,18.75,18.00,18.00,13056000,0.075048,AMAT
1980-05-09,18.00,18.75,18.00,18.00,5619200,0.075048,AMAT
1980-05-12,18.25,19.00,18.25,18.25,2841600,0.076091,AMAT
1980-05-13,18.50,19.25,18.50,18.50,1625600,0.077133,AMAT
1980-05-14,18.75,19.50,18.75,18.75,3392000,0.078175,AMAT
1980-05-15,19.00,19.75,19.00,19.00,3340800,0.079218,AMAT
1980-05-16,19.00,19.75,19.00,19.00,2880000,0.079218,AMAT
1980-05-19,19.00,19.25,18.50,18.50,2457600,0.077133,AMAT
1980-05-20,18.50,19.00,18.25,18.25,1587200,0.076091,AMAT
1980-05-21,18.25,18.75,18.00,18.00,1574400,0.075048,AMAT
1980-05-22,19.00,19.75,19.00,19.00,2841600,0.079218,AMAT
1980-05-23,19.75,20.50,19.75,19.75,4070400,0.082345,AMAT
1980-05-27,20.25,21.00,20.25,20.25,4992000,0.084429,AMAT
1980-05-28,20.50,21.25,20.50,20.50,3161600,0.085472,AMAT
1980-05-29,21.00,21.75,21.00,21.00,5196800,0.087556,AMAT
1980-05-30,21.00,21.75,21.00,21.00,2316800,0.087556,AMAT
1980-06-02,21.00,21.25,20.50,20.50,1510400,0.085472,AMAT
1980-06-03,20.50,20.50,19.75,19.75,2432000,0.082345,AMAT
1980-06-04,20.50,21.25,20.50,20.50,2585600,0.085472,AMAT
1980-06-05,21.00,21.75,21.00,21.00,3148800,0.087556,AMAT
1980-06-06,21.00,21.25,20.50,20.50,2700800,0.085472,AMAT
1980-06-09,20.75,21.50,20.75,20.75,2956800,0.086514,AMAT
1980-06-10,20.75,21.25,20.50,20.50,883200,0.085472,AMAT
1980-06-11,20.75,21.50,20.75,20.75,4108800,0.086514,AMAT
1980-06-12,21.00,21.75,21.00,21.00,2700800,0.087556,AMAT
1980-06-13,21.25,22.00,21.25,21.25,1382400,0.088599,AMAT
1980-06-16,21.25,21.75,21.00,21.00,2457600,0.087556,AMAT
1980-06-17,21.00,21.75,21.00,21.00,2316800,0.087556,AMAT
1980-06-18,21.00,21.25,20.50,20.50,3417600,0.085472,AMAT
1980-06-19,20.50,20.75,20.00,20.00,2086400,0.083387,AMAT
1980-06-20,20.00,20.50,19.75,19.75,2150400,0.082345,AMAT
1980-06-23,19.75,20.00,19.25,19.25,1203200,0.08026,AMAT
1980-06-24,19.50,20.25,19.50,19.50,2432000,0.081302,AMAT
1980-06-25,19.75,20.50,19.75,19.75,3699200,0.082345,AMAT
1980-06-26,20.50,21.25,20.50,20.50,7180800,0.085472,AMAT
1980-06-27,20.50,21.00,20.25,20.25,1318400,0.084429,AMAT
1980-06-30,20.25,20.50,19.75,19.75,1779200,0.082345,AMAT
1980-07-01,19.75,20.25,19.50,19.50,8115200,0.081302,AMAT
1980-07-02,19.50,20.25,19.50,19.50,3238400,0.081302,AMAT
1980-07-03,19.50,20.25,19.50,19.50,3417600,0.081302,AMAT
1980-07-07,20.25,20.50,20.25,20.25,9600000,0.084429,AMAT
1980-07-08,20.75,21.25,20.75,20.75,5222400,0.086514,AMAT
1980-07-09,21.50,22.00,21.50,21.50,7808000,0.089641,AMAT
1980-07-10,22.25,22.50,22.25,22.25,6028800,0.092768,AMAT
1980-07-11,22.75,23.25,22.75,22.75,4659200,0.094853,AMAT
1980-07-14,24.500001,24.999999,24.500001,24.500001,8140800,0.102149,AMAT
1980-07-15,24.75,24.999999,24.75,24.75,9638400,0.103191,AMAT
1980-07-16,24.75,24.75,24.500001,24.500001,3187200,0.102149,AMAT
1980-07-17,25.50,26.000001,25.50,25.50,3430400,0.106318,AMAT
1980-07-18,25.749999,26.000001,25.749999,25.749999,5657600,0.107361,AMAT
1980-07-21,26.000001,26.25,26.000001,26.000001,3571200,0.108403,AMAT
1980-07-22,26.000001,26.25,26.000001,26.000001,3648000,0.108403,AMAT
1980-07-23,26.000001,26.000001,25.749999,25.749999,4300800,0.107361,AMAT
1980-07-24,26.000001,26.25,26.000001,26.000001,4160000,0.108403,AMAT
1980-07-25,26.000001,26.25,26.000001,26.000001,2931200,0.108403,AMAT
1980-07-28,26.25,26.499999,26.25,26.25,1894400,0.109445,AMAT
1980-07-29,26.25,26.750001,26.25,26.25,2470400,0.109445,AMAT
1980-07-30,28.250001,28.749999,28.250001,28.250001,4659200,0.117784,AMAT
1980-07-31,28.250001,28.50,28.250001,28.250001,6643200,0.117784,AMAT
1980-08-01,29.750001,30.249999,29.750001,29.750001,7040000,0.124038,AMAT
1980-08-04,29.750001,29.750001,29.499999,29.499999,4684800,0.122996,AMAT
1980-08-05,31.749999,32.000001,31.749999,31.749999,11865600,0.132377,AMAT
1980-08-06,33.500001,33.75,33.500001,33.500001,10444800,0.139673,AMAT
1980-08-07,32.499999,32.499999,32.25,32.25,10380800,0.134461,AMAT
1980-08-08,31.749999,31.749999,31.50,31.50,6617600,0.131334,AMAT
1980-08-11,31.749999,32.25,31.749999,31.749999,2508800,0.132377,AMAT
1980-08-12,30.999999,30.999999,30.75,30.75,4736000,0.128207,AMAT
1980-08-13,30.75,31.250001,30.75,30.75,8179200,0.128207,AMAT
1980-08-14,30.999999,31.250001,30.999999,30.999999,4390400,0.12925,AMAT
1980-08-15,30.75,30.75,30.500001,30.500001,3046400,0.127165,AMAT
1980-08-18,30.249999,30.249999,30.00,30.00,4774400,0.12508,AMAT
1980-08-19,30.249999,30.500001,30.249999,30.249999,6348800,0.126123,AMAT
1980-08-20,31.250001,31.50,31.250001,31.250001,3507200,0.130292,AMAT
1980-08-21,31.250001,31.50,31.250001,31.250001,3238400,0.130292,AMAT
1980-08-22,32.25,32.750001,32.25,32.25,8960000,0.134461,AMAT
1980-08-25,31.749999,31.749999,31.50,31.50,4083200,0.131334,AMAT
1980-08-26,31.749999,32.25,31.749999,31.749999,6732800,0.132377,AMAT
1980-08-27,31.749999,31.749999,31.250001,31.250001,2547200,0.130292,AMAT
1980-08-28,31.250001,31.250001,30.999999,30.999999,2380800,0.12925,AMAT
1980-08-29,30.999999,30.999999,30.75,30.75,2496000,0.128207,AMAT
1980-09-02,30.999999,31.250001,30.999999,30.999999,1574400,0.12925,AMAT
1980-09-03,32.499999,32.750001,32.499999,32.499999,4544000,0.135504,AMAT
1980-09-04,33.500001,33.75,33.500001,33.500001,7116800,0.139673,AMAT
1980-09-05,33.75,33.999999,33.75,33.75,4032000,0.140715,AMAT
1980-09-08,33.75,34.250001,33.75,33.75,3891200,0.140715,AMAT
1980-09-09,33.75,33.999999,33.75,33.75,9369600,0.140715,AMAT
1980-09-10,33.999999,34.250001,33.999999,33.999999,2240000,0.141758,AMAT
1980-09-11,35.499999,35.750001,35.499999,35.499999,5811200,0.148012,AMAT
1980-09-12,35.750001,36.00,35.750001,35.750001,960000,0.149054,AMAT
1980-09-15,34.749999,34.749999,34.250001,34.250001,4377600,0.1428,AMAT
1980-09-16,34.50,34.749999,34.50,34.50,2278400,0.143842,AMAT
1980-09-17,35.25,35.750001,35.25,35.25,3814400,0.146969,AMAT
1980-09-18,35.25,35.750001,35.25,35.25,2304000,0.146969,AMAT
1980-09-19,36.500001,36.75,36.500001,36.500001,2956800,0.152181,AMAT
1980-09-22,36.500001,36.500001,36.00,36.00,2073600,0.150096,AMAT
1980-09-23,35.499999,35.499999,35.25,35.25,3315200,0.146969,AMAT
1980-09-24,35.25,35.25,34.749999,34.749999,2342400,0.144885,AMAT
1980-09-25,34.50,34.50,34.250001,34.250001,2227200,0.1428,AMAT
1980-09-26,32.499999,32.499999,32.000001,32.000001,4684800,0.133419,AMAT
1980-09-29,30.500001,30.500001,30.00,30.00,5068800,0.12508,AMAT
1980-09-30,31.50,31.749999,31.50,31.50,7193600,0.131334,AMAT
1980-10-01,33.75,33.999999,33.75,33.75,4608000,0.140715,AMAT
1980-10-02,33.75,33.999999,33.500001,33.500001,1510400,0.139673,AMAT
1980-10-03,34.50,35.000001,34.50,34.50,1728000,0.143842,AMAT
1980-10-06,36.500001,37.250001,36.500001,36.500001,3379200,0.152181,AMAT
1980-10-07,36.500001,36.75,36.249999,36.249999,2419200,0.151139,AMAT
1980-10-08,38.25,38.499999,38.25,38.25,8038400,0.159478,AMAT
1980-10-09,38.499999,38.750001,38.499999,38.499999,1958400,0.16052,AMAT
1980-10-10,38.750001,39.00,38.750001,38.750001,3046400,0.161562,AMAT
1980-10-13,41.499999,41.750001,41.499999,41.499999,4339200,0.173028,AMAT
1980-10-14,41.25,41.25,40.749999,40.749999,4454400,0.169901,AMAT
1980-10-15,41.25,41.499999,41.25,41.25,3187200,0.171986,AMAT
1980-10-16,40.250001,40.250001,39.75,39.75,3545600,0.165732,AMAT
