Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1983-06-17,16.50,16.75,16.50,16.50,42936000,0.307067,AMGN
1983-06-20,14.75,14.75,14.50,14.50,7329600,0.269846,AMGN
1983-06-21,14.50,15.00,14.50,14.50,2280000,0.269846,AMGN
1983-06-22,15.00,15.25,15.00,15.00,5937600,0.279151,AMGN
1983-06-23,15.00,15.25,15.00,15.00,1272000,0.279151,AMGN
1983-06-24,15.00,15.00,14.75,14.75,1574400,0.274499,AMGN
1983-06-27,13.50,13.50,13.00,13.00,5884800,0.241931,AMGN
1983-06-28,13.00,13.25,13.00,13.00,4987200,0.241931,AMGN
1983-06-29,13.00,13.00,12.75,12.75,1056000,0.237279,AMGN
1983-06-30,13.00,13.375,13.00,13.00,2164800,0.241931,AMGN
1983-07-01,13.00,13.25,13.00,13.00,350400,0.241931,AMGN
1983-07-05,13.00,13.00,12.50,12.50,576000,0.232626,AMGN
1983-07-06,12.50,12.75,12.50,12.50,638400,0.232626,AMGN
1983-07-07,12.75,13.00,12.75,12.75,1046400,0.237279,AMGN
1983-07-08,12.75,13.00,12.50,12.50,681600,0.232626,AMGN
1983-07-11,12.75,13.00,12.75,12.75,729600,0.237279,AMGN
1983-07-12,12.75,13.25,12.75,12.75,777600,0.237279,AMGN
1983-07-13,13.25,13.75,13.25,13.25,4420800,0.246584,AMGN
1983-07-14,13.375,13.75,13.375,13.375,777600,0.24891,AMGN
1983-07-15,13.375,13.75,13.375,13.375,897600,0.24891,AMGN
1983-07-18,13.375,13.50,13.25,13.25,456000,0.246584,AMGN
1983-07-19,13.25,13.50,13.00,13.00,417600,0.241931,AMGN
1983-07-20,13.00,13.125,12.875,12.875,484800,0.239605,AMGN
1983-07-21,12.75,12.75,12.25,12.25,1156800,0.227974,AMGN
1983-07-22,12.25,12.25,12.125,12.125,3038400,0.225647,AMGN
1983-07-25,12.125,12.375,12.125,12.125,1401600,0.225647,AMGN
1983-07-26,12.125,12.375,12.125,12.125,2697600,0.225647,AMGN
1983-07-27,12.00,12.00,11.625,11.625,566400,0.216342,AMGN
1983-07-28,11.625,11.625,11.625,11.625,000,0.216342,AMGN
1983-07-29,11.625,12.00,11.50,11.50,734400,0.214016,AMGN
1983-08-01,11.50,11.50,11.25,11.25,710400,0.209364,AMGN
1983-08-02,11.25,11.50,11.125,11.125,225600,0.207037,AMGN
1983-08-03,11.125,11.50,11.125,11.125,105600,0.207037,AMGN
1983-08-04,11.125,11.25,10.75,10.75,360000,0.200059,AMGN
1983-08-05,10.75,10.875,10.50,10.50,417600,0.195406,AMGN
1983-08-08,10.50,10.50,10.25,10.25,292800,0.190754,AMGN
1983-08-09,10.25,10.25,9.875,9.875,849600,0.183775,AMGN
1983-08-10,9.875,10.25,9.875,9.875,700800,0.183775,AMGN
1983-08-11,9.875,10.25,9.875,9.875,124800,0.183775,AMGN
1983-08-12,9.875,10.125,9.875,9.875,201600,0.183775,AMGN
1983-08-15,9.875,10.125,9.75,9.75,585600,0.181448,AMGN
1983-08-16,9.75,10.125,9.75,9.75,235200,0.181448,AMGN
1983-08-17,9.75,10.125,9.75,9.75,153600,0.181448,AMGN
1983-08-18,9.50,9.50,9.125,9.125,715200,0.169817,AMGN
