Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
2001-12-03,13.60,13.84,13.50,13.80,847400,9.15725,AYI
2001-12-04,13.70,13.84,13.60,13.75,780700,9.124072,AYI
2001-12-05,13.75,14.20,13.75,14.06,906200,9.329778,AYI
2001-12-06,13.95,14.20,13.70,13.98,291300,9.276692,AYI
2001-12-07,13.88,13.88,13.40,13.48,399500,8.944908,AYI
2001-12-10,13.10,13.10,11.20,11.20,348800,7.431971,AYI
2001-12-11,11.30,12.58,11.30,12.58,595400,8.347696,AYI
2001-12-12,12.48,12.85,11.95,12.00,226700,7.962826,AYI
2001-12-13,12.10,12.40,11.75,12.00,248600,7.962826,AYI
2001-12-14,11.90,12.08,11.76,11.98,146000,7.949555,AYI
2001-12-17,11.65,12.10,10.80,11.00,523600,7.299257,AYI
2001-12-18,10.90,11.50,10.70,11.50,685500,7.631042,AYI
2001-12-19,11.16,12.10,11.05,11.95,290400,7.929648,AYI
2001-12-20,12.00,12.00,11.35,11.51,535400,7.637678,AYI
2001-12-21,11.20,11.95,11.15,11.90,367700,7.896469,AYI
2001-12-24,12.35,12.95,12.10,12.89,112300,8.553403,AYI
2001-12-26,13.09,13.20,11.96,12.51,255900,8.301247,AYI
2001-12-27,12.70,12.95,12.70,12.90,374500,8.560038,AYI
2001-12-28,12.91,12.91,11.90,12.00,324500,7.962826,AYI
2001-12-31,12.00,12.40,12.00,12.10,451000,8.029183,AYI
2002-01-02,12.05,14.00,12.01,14.00,164700,9.289964,AYI
2002-01-03,13.75,14.75,13.75,14.75,260000,9.787641,AYI
2002-01-04,14.75,14.89,14.11,14.81,155700,9.827455,AYI
2002-01-07,14.71,14.71,14.02,14.26,131100,9.462492,AYI
2002-01-08,14.20,14.20,13.81,14.20,67500,9.422678,AYI
2002-01-09,14.15,14.35,13.80,13.80,52200,9.15725,AYI
2002-01-10,13.70,14.05,13.20,13.57,74500,9.004629,AYI
2002-01-11,13.62,13.74,13.50,13.50,56100,8.95818,AYI
2002-01-14,13.28,14.65,13.20,14.61,177500,9.694741,AYI
2002-01-15,14.40,14.52,13.88,13.96,208500,9.359515,AYI
2002-01-16,13.99,14.00,12.80,12.80,144600,8.58179,AYI
2002-01-17,12.70,13.74,12.70,13.74,618900,9.212015,AYI
2002-01-18,13.54,13.65,13.10,13.45,123300,9.017584,AYI
2002-01-22,13.45,14.04,13.35,13.82,86000,9.265651,AYI
2002-01-23,13.82,13.92,13.30,13.92,70300,9.332697,AYI
2002-01-24,13.82,13.82,13.50,13.50,63000,9.051107,AYI
2002-01-25,13.40,13.61,12.90,13.61,300500,9.124856,AYI
2002-01-28,13.70,13.92,13.66,13.75,135600,9.21872,AYI
2002-01-29,13.75,13.75,13.02,13.20,214400,8.849971,AYI
2002-01-30,13.15,13.18,12.82,13.08,31600,8.769517,AYI
2002-01-31,13.00,13.05,12.50,13.05,144700,8.749403,AYI
2002-02-01,13.05,13.05,12.74,13.03,114100,8.735994,AYI
2002-02-04,12.80,13.99,12.69,13.39,83400,8.977357,AYI
2002-02-05,13.29,13.29,12.53,13.24,112700,8.876789,AYI
2002-02-06,13.24,13.45,13.10,13.27,207500,8.896903,AYI
2002-02-07,13.17,13.25,13.10,13.19,76500,8.843266,AYI
2002-02-08,13.29,13.47,13.26,13.40,98900,8.984061,AYI
2002-02-11,13.30,13.35,13.00,13.20,104900,8.849971,AYI
2002-02-12,13.20,13.30,13.15,13.27,138700,8.896903,AYI
2002-02-13,13.26,13.30,13.25,13.30,65400,8.917016,AYI
2002-02-14,13.30,13.35,13.25,13.35,173400,8.950539,AYI
2002-02-15,13.30,13.57,13.30,13.44,90300,9.010879,AYI
2002-02-19,13.54,13.58,13.30,13.46,242600,9.024289,AYI
2002-02-20,13.45,13.62,13.45,13.55,101100,9.08463,AYI
2002-02-21,13.55,13.69,13.50,13.57,74100,9.098038,AYI
2002-02-22,13.65,14.65,13.65,14.52,92600,9.734969,AYI
2002-02-25,14.42,14.75,14.25,14.52,67300,9.734969,AYI
2002-02-26,14.52,14.52,13.88,13.96,54500,9.359515,AYI
2002-02-27,13.90,14.30,13.50,14.10,61000,9.453378,AYI
2002-02-28,14.50,14.61,13.90,14.20,148300,9.520423,AYI
2002-03-01,14.15,15.50,14.06,15.30,188500,10.257921,AYI
2002-03-04,15.20,15.85,15.20,15.60,320000,10.459057,AYI
2002-03-05,15.50,15.75,15.23,15.40,158400,10.324966,AYI
2002-03-06,15.30,15.40,15.00,15.35,121500,10.291444,AYI
2002-03-07,15.29,15.30,14.75,14.85,119300,9.956218,AYI
2002-03-08,14.80,14.92,14.35,14.50,58600,9.721559,AYI
2002-03-11,14.10,14.80,14.00,14.71,210400,9.862354,AYI
2002-03-12,14.81,15.20,14.75,15.20,83300,10.190876,AYI
2002-03-13,15.30,15.30,15.10,15.23,19800,10.210989,AYI
2002-03-14,15.20,15.52,15.15,15.50,33200,10.392012,AYI
2002-03-15,15.15,15.40,15.02,15.10,109100,10.123831,AYI
2002-03-18,15.25,15.25,15.07,15.14,47400,10.150649,AYI
2002-03-19,15.11,16.00,15.03,16.00,57400,10.727238,AYI
2002-03-20,15.75,16.00,15.25,15.26,48600,10.231103,AYI
2002-03-21,15.26,15.61,14.75,15.58,107200,10.445648,AYI
2002-03-22,15.60,15.85,15.31,15.51,69500,10.398716,AYI
2002-03-25,15.30,15.75,15.20,15.31,129900,10.264626,AYI
2002-03-26,15.31,16.01,15.20,15.90,99400,10.660192,AYI
2002-03-27,15.90,17.700001,15.90,16.50,265200,11.062464,AYI
2002-03-28,16.60,17.15,16.08,16.530001,146700,11.082578,AYI
2002-04-01,16.530001,17.10,16.15,17.00,167700,11.39769,AYI
2002-04-02,16.950001,17.059999,16.860001,17.049999,102200,11.431212,AYI
2002-04-03,17.00,17.030001,16.700001,16.75,76800,11.230077,AYI
2002-04-04,16.50,17.049999,16.50,17.049999,89000,11.431212,AYI
2002-04-05,17.049999,17.299999,16.799999,17.18,103300,11.518372,AYI
2002-04-08,17.00,17.85,17.00,17.60,63900,11.799962,AYI
2002-04-09,17.60,17.799999,17.15,17.60,116300,11.799962,AYI
2002-04-10,17.60,17.91,17.40,17.860001,99300,11.974279,AYI
2002-04-11,17.709999,17.780001,17.41,17.469999,59700,11.812007,AYI
2002-04-12,17.370001,17.90,17.370001,17.90,131000,12.102744,AYI
2002-04-15,17.75,18.200001,17.65,18.030001,122900,12.190642,AYI
2002-04-16,18.450001,19.049999,18.450001,18.90,83500,12.778875,AYI
2002-04-17,18.90,18.90,18.629999,18.65,58400,12.609842,AYI
2002-04-18,18.549999,18.950001,18.290001,18.290001,142500,12.366436,AYI
2002-04-19,18.299999,18.40,18.00,18.040001,129000,12.197403,AYI
2002-04-22,18.059999,18.40,18.00,18.40,45900,12.440809,AYI
2002-04-23,18.299999,18.959999,18.299999,18.959999,112400,12.819442,AYI
2002-04-24,18.959999,19.00,18.799999,18.93,71200,12.799159,AYI
2002-04-25,18.90,19.40,18.90,19.40,104300,13.11694,AYI
2002-04-26,19.40,19.40,19.110001,19.129999,93800,12.934385,AYI
2002-04-29,19.129999,19.129999,18.75,18.799999,260800,12.711261,AYI
2002-04-30,18.799999,18.90,18.450001,18.549999,289700,12.542229,AYI
2002-05-01,18.60,18.75,17.799999,18.48,107700,12.4949,AYI
2002-05-02,18.50,18.690001,18.299999,18.459999,90200,12.481377,AYI
2002-05-03,18.469999,18.52,18.15,18.280001,124900,12.359674,AYI
2002-05-06,18.25,18.35,17.700001,18.00,90400,12.170357,AYI
2002-05-07,17.90,17.90,16.92,17.00,167100,11.494226,AYI
2002-05-08,17.00,17.15,16.33,17.030001,96300,11.514511,AYI
2002-05-09,16.93,16.93,16.040001,16.139999,105500,10.912753,AYI
2002-05-10,16.15,16.219999,15.50,15.83,97100,10.703153,AYI
2002-05-13,15.70,16.50,15.55,16.41,150000,11.095309,AYI
2002-05-14,16.41,17.58,16.200001,17.450001,121400,11.798486,AYI
2002-05-15,17.450001,17.540001,17.299999,17.40,77900,11.764678,AYI
2002-05-16,17.299999,17.60,16.67,16.85,78500,11.392807,AYI
2002-05-17,16.950001,17.15,16.709999,16.90,39800,11.426613,AYI
2002-05-20,16.799999,16.90,16.549999,16.709999,79300,11.298148,AYI
2002-05-21,16.610001,16.959999,16.469999,16.959999,75600,11.46718,AYI
2002-05-22,16.860001,16.950001,16.40,16.780001,48600,11.345478,AYI
2002-05-23,16.700001,17.709999,16.35,17.709999,43500,11.974279,AYI
2002-05-24,17.549999,17.60,16.85,17.00,64200,11.494226,AYI
2002-05-28,16.950001,16.950001,16.50,16.93,35700,11.446897,AYI
