Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1981-12-15,12.75,13.25,12.75,12.75,243000,0.177074,CA
1981-12-16,12.75,13.25,12.75,12.75,129600,0.177074,CA
1981-12-17,13.00,13.50,13.00,13.00,621000,0.180546,CA
1981-12-18,13.00,13.50,13.00,13.00,421200,0.180546,CA
1981-12-21,13.00,13.50,13.00,13.00,502200,0.180546,CA
1981-12-22,13.00,13.50,13.00,13.00,658800,0.180546,CA
1981-12-23,13.50,14.25,13.50,13.50,151200,0.18749,CA
1981-12-24,14.25,14.75,14.25,14.25,912600,0.197906,CA
1981-12-28,14.25,14.75,14.25,14.25,248400,0.197906,CA
1981-12-29,14.25,14.75,14.25,14.25,113400,0.197906,CA
1981-12-30,14.25,14.75,14.25,14.25,81000,0.197906,CA
1981-12-31,14.25,14.75,14.25,14.25,27000,0.197906,CA
1982-01-04,14.75,15.50,14.75,14.75,243000,0.20485,CA
1982-01-05,14.75,15.25,14.75,14.75,388800,0.20485,CA
1982-01-06,14.75,15.000001,14.499999,14.499999,205200,0.201378,CA
1982-01-07,14.499999,14.499999,14.00,14.00,383400,0.194434,CA
1982-01-08,14.25,14.75,14.25,14.25,286200,0.197906,CA
1982-01-11,14.25,14.25,13.750001,13.750001,356400,0.190962,CA
1982-01-12,13.750001,13.750001,13.25,13.25,297000,0.184018,CA
1982-01-13,13.25,13.750001,13.00,13.00,124200,0.180546,CA
1982-01-14,13.00,13.00,12.50,12.50,189000,0.173602,CA
1982-01-15,12.50,13.00,12.50,12.50,10800,0.173602,CA
1982-01-18,12.50,12.50,11.75,11.75,113400,0.163186,CA
1982-01-19,11.75,12.50,11.75,11.75,118800,0.163186,CA
1982-01-20,11.75,12.25,11.50,11.50,108000,0.159714,CA
1982-01-21,12.00,12.75,12.00,12.00,378000,0.166658,CA
1982-01-22,12.75,13.25,12.75,12.75,54000,0.177074,CA
1982-01-25,12.75,13.25,12.50,12.50,118800,0.173602,CA
1982-01-26,12.75,13.50,12.75,12.75,621000,0.177074,CA
1982-01-27,13.25,13.750001,13.25,13.25,162000,0.184018,CA
1982-01-28,13.50,14.25,13.50,13.50,10800,0.18749,CA
1982-01-29,14.25,15.000001,14.25,14.25,243000,0.197906,CA
1982-02-01,15.000001,15.50,15.000001,15.000001,523800,0.208322,CA
1982-02-02,15.50,15.749999,15.50,15.50,642600,0.215266,CA
1982-02-03,15.50,15.749999,15.25,15.25,939600,0.211794,CA
1982-02-04,15.25,15.749999,14.75,14.75,378000,0.20485,CA
1982-02-05,14.75,15.25,14.75,14.75,108000,0.20485,CA
1982-02-08,14.499999,14.499999,13.750001,13.750001,140400,0.190962,CA
1982-02-09,13.750001,13.750001,13.750001,13.750001,000,0.190962,CA
1982-02-10,14.00,14.75,14.00,14.00,178200,0.194434,CA
1982-02-11,14.00,14.75,14.00,14.00,5400,0.194434,CA
1982-02-12,14.00,14.499999,14.00,14.00,594000,0.194434,CA
1982-02-16,14.00,14.25,13.750001,13.750001,27000,0.190962,CA
1982-02-17,13.750001,13.750001,13.750001,13.750001,000,0.190962,CA
1982-02-18,13.750001,14.25,13.750001,13.750001,32400,0.190962,CA
1982-02-19,13.750001,14.00,13.50,13.50,108000,0.18749,CA
1982-02-22,13.50,14.00,13.50,13.50,16200,0.18749,CA
1982-02-23,13.50,13.750001,13.50,13.50,275400,0.18749,CA
1982-02-24,13.25,13.25,12.75,12.75,318600,0.177074,CA
1982-02-25,13.25,13.750001,13.25,13.25,1101600,0.184018,CA
1982-02-26,13.25,13.25,13.25,13.25,000,0.184018,CA
1982-03-01,13.50,14.00,13.50,13.50,10800,0.18749,CA
1982-03-02,13.50,13.50,13.50,13.50,000,0.18749,CA
1982-03-03,13.50,14.00,13.50,13.50,183600,0.18749,CA
1982-03-04,13.50,14.00,13.50,13.50,27000,0.18749,CA
1982-03-05,13.50,13.50,13.00,13.00,75600,0.180546,CA
1982-03-08,12.50,12.50,11.75,11.75,351000,0.163186,CA
1982-03-09,11.75,12.25,11.75,11.75,140400,0.163186,CA
1982-03-10,11.75,12.25,11.75,11.75,172800,0.163186,CA
1982-03-11,11.75,11.75,11.75,11.75,000,0.163186,CA
1982-03-12,11.75,11.75,11.75,11.75,000,0.163186,CA
1982-03-15,11.75,12.25,11.75,11.75,75600,0.163186,CA
1982-03-16,11.75,12.25,11.75,11.75,37800,0.163186,CA
1982-03-17,11.75,12.25,11.75,11.75,64800,0.163186,CA
1982-03-18,12.00,12.50,12.00,12.00,237600,0.166658,CA
1982-03-19,12.00,12.50,12.00,12.00,621000,0.166658,CA
1982-03-22,12.00,12.00,12.00,12.00,000,0.166658,CA
1982-03-23,12.25,12.50,12.25,12.25,32400,0.17013,CA
1982-03-24,12.25,12.75,12.25,12.25,1031400,0.17013,CA
