Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1980-03-17,29.75,30.25,29.75,29.75,73600,1.780013,CMI
1980-03-18,29.75,30.125,29.50,30.125,14400,1.80245,CMI
1980-03-19,30.125,30.25,30.00,30.125,29600,1.80245,CMI
1980-03-20,30.25,30.50,30.25,30.50,13600,1.824887,CMI
1980-03-21,30.25,30.25,30.125,30.125,24000,1.80245,CMI
1980-03-24,30.125,30.25,29.875,30.125,30400,1.80245,CMI
1980-03-25,30.125,30.375,30.00,30.375,34400,1.817408,CMI
1980-03-26,30.375,30.875,30.125,30.75,54400,1.839845,CMI
1980-03-27,30.375,30.375,29.50,29.75,73600,1.780013,CMI
1980-03-28,30.00,30.25,30.00,30.125,30400,1.80245,CMI
1980-03-31,30.125,30.25,29.875,30.00,28000,1.794971,CMI
1980-04-01,30.00,30.00,29.50,29.50,40000,1.765055,CMI
1980-04-02,29.50,29.625,29.50,29.50,42400,1.765055,CMI
1980-04-03,29.25,29.25,29.00,29.00,408800,1.735138,CMI
1980-04-07,29.00,29.25,28.25,28.25,108000,1.690264,CMI
1980-04-08,28.25,28.25,28.25,28.25,7200,1.690264,CMI
1980-04-09,28.25,28.75,28.25,28.50,12000,1.705222,CMI
1980-04-10,28.375,28.375,28.25,28.25,29600,1.690264,CMI
1980-04-11,28.25,28.375,28.00,28.00,50400,1.675306,CMI
1980-04-14,28.00,28.00,27.625,27.875,64000,1.667827,CMI
1980-04-15,27.50,27.50,27.25,27.25,18400,1.630432,CMI
1980-04-16,27.375,28.00,27.375,27.75,23200,1.660348,CMI
1980-04-17,27.75,28.00,27.75,27.75,12000,1.660348,CMI
1980-04-18,28.00,28.50,28.00,28.50,6400,1.705222,CMI
1980-04-21,28.50,29.00,28.50,28.50,120000,1.705222,CMI
1980-04-22,28.25,28.25,27.50,27.50,104800,1.64539,CMI
1980-04-23,27.75,28.125,27.75,28.00,93600,1.675306,CMI
1980-04-24,28.00,28.75,27.875,28.75,44000,1.72018,CMI
1980-04-25,28.75,28.875,28.50,28.75,24000,1.72018,CMI
1980-04-28,28.75,29.50,28.625,29.50,48000,1.765055,CMI
1980-04-29,29.375,29.375,29.125,29.125,43200,1.742618,CMI
1980-04-30,29.125,29.625,28.75,29.625,53600,1.772534,CMI
1980-05-01,29.625,29.875,29.50,29.50,19200,1.765055,CMI
1980-05-02,29.50,29.50,29.25,29.25,4800,1.750097,CMI
1980-05-05,29.25,29.25,29.00,29.25,3200,1.750097,CMI
1980-05-06,29.00,29.00,29.00,29.00,3200,1.735138,CMI
1980-05-07,29.00,29.125,28.75,29.125,55200,1.742618,CMI
1980-05-08,29.125,29.25,28.875,29.00,25600,1.735138,CMI
1980-05-09,29.00,29.00,28.75,28.75,19200,1.72018,CMI
1980-05-12,28.50,28.50,28.00,28.25,27200,1.690264,CMI
1980-05-13,28.25,28.50,28.25,28.50,20800,1.705222,CMI
1980-05-14,28.50,28.50,28.50,28.50,1600,1.705222,CMI
1980-05-15,28.625,29.125,28.625,29.00,49600,1.735138,CMI
1980-05-16,29.00,29.50,29.00,29.50,324800,1.765055,CMI
1980-05-19,29.50,30.00,29.375,29.50,481600,1.765055,CMI
1980-05-20,29.50,29.50,29.125,29.25,37600,1.750097,CMI
1980-05-21,29.25,29.50,29.125,29.125,29600,1.742618,CMI
1980-05-22,29.25,29.50,29.25,29.25,19200,1.750097,CMI
1980-05-23,29.50,30.00,29.50,30.00,83200,1.794971,CMI
1980-05-27,30.00,30.25,29.375,30.25,141600,1.809929,CMI
1980-05-28,30.00,30.00,29.75,29.75,129600,1.780013,CMI
1980-05-29,29.75,30.125,29.75,30.125,40000,1.80245,CMI
