Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1996-12-26,15.625,15.75,15.25,15.25,22000,3.263993,DGX
1996-12-27,15.25,15.25,15.25,15.25,800,3.263993,DGX
1996-12-30,15.375,15.375,15.125,15.125,28400,3.237239,DGX
1996-12-31,15.00,15.125,15.00,15.125,15600,3.237239,DGX
1997-01-02,15.00,15.00,14.625,14.625,710000,3.130223,DGX
1997-01-03,14.625,15.125,14.625,15.00,1579600,3.210485,DGX
1997-01-06,15.125,15.25,15.00,15.125,2490800,3.237239,DGX
1997-01-07,15.25,16.00,15.125,16.00,641200,3.424517,DGX
1997-01-08,16.25,16.75,16.125,16.125,336000,3.451271,DGX
1997-01-09,16.125,16.375,16.125,16.25,459200,3.478025,DGX
1997-01-10,16.375,16.50,16.25,16.375,812800,3.504779,DGX
1997-01-13,16.375,16.375,16.00,16.25,3370000,3.478025,DGX
1997-01-14,16.875,17.75,16.75,17.75,2018000,3.799074,DGX
1997-01-15,17.25,17.375,16.375,16.375,2648400,3.504779,DGX
1997-01-16,16.00,16.25,15.875,16.00,2926000,3.424517,DGX
1997-01-17,16.00,16.25,15.875,16.125,1323600,3.451271,DGX
1997-01-20,16.00,16.125,15.875,15.875,2368400,3.397763,DGX
1997-01-21,16.00,16.125,16.00,16.00,2347200,3.424517,DGX
1997-01-22,16.125,16.125,16.00,16.00,2797600,3.424517,DGX
1997-01-23,16.25,16.625,16.25,16.375,1058800,3.504779,DGX
1997-01-24,16.375,17.125,16.125,16.125,1254800,3.451271,DGX
1997-01-27,16.125,16.375,16.125,16.125,1658000,3.451271,DGX
1997-01-28,16.125,16.75,16.00,16.00,1005600,3.424517,DGX
1997-01-29,16.00,16.375,15.875,16.00,1512000,3.424517,DGX
1997-01-30,16.00,16.25,15.875,16.00,2211200,3.424517,DGX
1997-01-31,15.75,16.00,15.625,15.75,1540400,3.371009,DGX
1997-02-03,15.75,16.25,15.625,16.25,1889600,3.478025,DGX
1997-02-04,16.25,16.50,16.125,16.50,1865600,3.531533,DGX
1997-02-05,16.50,16.625,16.375,16.625,458400,3.558287,DGX
1997-02-06,16.50,16.625,16.50,16.50,643600,3.531533,DGX
