Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1983-06-10,126.00,126.00,125.00,125.00,403200,2.601968,DNB
1983-06-13,62.75,63.00,61.50,62.25,63200,2.59156,DNB
1983-06-14,62.00,64.625,62.00,64.375,516400,2.680027,DNB
1983-06-15,64.50,70.00,64.50,70.00,300000,2.914204,DNB
1983-06-16,69.50,69.50,66.125,66.50,280000,2.768494,DNB
1983-06-17,67.00,68.00,66.00,66.75,236000,2.778901,DNB
1983-06-20,66.50,68.00,65.50,65.50,119200,2.726862,DNB
1983-06-21,65.00,65.75,65.00,65.25,457600,2.716454,DNB
1983-06-22,64.625,65.25,64.125,65.25,233200,2.716454,DNB
1983-06-23,65.25,65.25,64.50,65.00,186000,2.706046,DNB
1983-06-24,65.00,65.00,63.75,64.00,431200,2.664415,DNB
1983-06-27,64.50,64.50,59.50,61.75,383200,2.570744,DNB
1983-06-28,61.75,63.00,61.50,61.75,571200,2.570744,DNB
1983-06-29,61.50,65.00,61.25,63.50,188000,2.643599,DNB
1983-06-30,63.00,63.25,62.00,62.50,356800,2.601968,DNB
1983-07-01,63.25,63.50,62.75,63.25,131200,2.633191,DNB
1983-07-05,63.25,63.25,61.75,62.25,298000,2.59156,DNB
1983-07-06,62.50,62.75,62.00,62.75,134800,2.612376,DNB
1983-07-07,62.75,62.75,61.625,61.75,217200,2.570744,DNB
1983-07-08,61.75,61.75,60.625,60.75,798400,2.529113,DNB
1983-07-11,60.75,60.875,60.25,60.50,410800,2.518705,DNB
1983-07-12,60.25,60.25,59.75,59.75,585600,2.487481,DNB
1983-07-13,59.75,59.75,59.125,59.25,595600,2.466665,DNB
1983-07-14,59.875,61.00,59.25,60.00,203200,2.497889,DNB
1983-07-15,59.75,59.75,58.50,59.00,696400,2.456257,DNB
1983-07-18,59.00,59.50,59.00,59.25,129600,2.466665,DNB
1983-07-19,59.25,59.25,58.00,58.00,1117200,2.414626,DNB
1983-07-20,58.625,58.75,57.50,58.75,1038800,2.44585,DNB
1983-07-21,59.00,59.00,58.625,58.875,775600,2.451054,DNB
1983-07-22,58.875,59.25,58.00,58.75,424000,2.44585,DNB
1983-07-25,58.75,59.00,57.875,59.00,145200,2.456257,DNB
1983-07-26,58.00,59.00,57.75,58.50,683200,2.435442,DNB
1983-07-27,57.00,58.50,56.75,57.125,1061200,2.378198,DNB
1983-07-28,56.00,56.875,55.50,55.875,305600,2.326159,DNB
1983-07-29,55.875,56.50,55.25,56.00,588000,2.331363,DNB
1983-08-01,56.375,56.375,55.75,56.00,307600,2.331363,DNB
1983-08-02,56.00,57.25,56.00,57.00,746400,2.372995,DNB
1983-08-03,57.50,58.25,57.00,58.00,755600,2.414626,DNB
