Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1993-06-22,13.00,13.00,11.25,11.50,22363200,1.331937,FLIR
1993-06-23,11.75,12.00,11.50,11.75,3168800,1.360892,FLIR
1993-06-24,11.75,12.00,11.75,11.75,703200,1.360892,FLIR
1993-06-25,11.75,12.25,11.75,12.00,1654400,1.389847,FLIR
1993-06-28,12.00,12.25,12.00,12.00,1398400,1.389847,FLIR
1993-06-29,12.25,12.25,11.75,12.25,756800,1.418802,FLIR
1993-06-30,11.75,11.75,11.25,11.25,1027200,1.302982,FLIR
1993-07-01,11.75,11.75,11.25,11.75,627200,1.360892,FLIR
1993-07-02,11.75,11.75,11.25,11.25,213600,1.302982,FLIR
1993-07-06,11.25,11.75,11.25,11.25,141600,1.302982,FLIR
1993-07-07,10.75,11.00,10.00,10.625,1111200,1.230594,FLIR
1993-07-08,10.25,11.00,10.25,10.50,648800,1.216116,FLIR
1993-07-09,10.25,10.75,10.25,10.75,255200,1.245071,FLIR
1993-07-12,10.25,10.75,10.25,10.50,828000,1.216116,FLIR
1993-07-13,10.25,11.00,10.25,10.875,182400,1.259549,FLIR
1993-07-14,10.75,12.00,10.75,11.75,583200,1.360892,FLIR
1993-07-15,11.75,12.00,11.50,12.00,230400,1.389847,FLIR
1993-07-16,12.00,12.00,11.50,11.50,128800,1.331937,FLIR
1993-07-19,12.00,12.00,11.50,11.75,692000,1.360892,FLIR
1993-07-20,11.50,12.00,11.50,11.75,68800,1.360892,FLIR
1993-07-21,11.50,12.00,11.50,11.50,35200,1.331937,FLIR
1993-07-22,11.75,12.00,11.75,11.75,448800,1.360892,FLIR
1993-07-23,11.75,12.00,10.75,11.125,332800,1.288504,FLIR
1993-07-26,10.75,10.75,10.25,10.75,286400,1.245071,FLIR
1993-07-27,10.25,10.75,10.25,10.25,411200,1.187161,FLIR
1993-07-28,10.50,10.75,10.25,10.25,70400,1.187161,FLIR
1993-07-29,10.75,11.00,10.25,11.00,144800,1.274027,FLIR
1993-07-30,10.50,11.00,10.375,10.75,984800,1.245071,FLIR
1993-08-02,10.50,10.75,10.50,10.50,64000,1.216116,FLIR
1993-08-03,10.50,10.75,10.50,10.50,64000,1.216116,FLIR
1993-08-04,10.75,10.75,10.50,10.50,65600,1.216116,FLIR
1993-08-05,10.50,10.75,10.50,10.50,39200,1.216116,FLIR
1993-08-06,10.50,10.75,10.50,10.50,23200,1.216116,FLIR
1993-08-09,10.50,10.75,10.50,10.50,51200,1.216116,FLIR
1993-08-10,10.25,10.50,9.75,10.00,568800,1.158206,FLIR
1993-08-11,9.75,9.75,8.50,9.50,1015200,1.100296,FLIR
1993-08-12,9.50,9.50,9.00,9.125,1605600,1.056863,FLIR
1993-08-13,9.00,9.50,9.00,9.00,319200,1.042385,FLIR
1993-08-16,9.00,10.00,9.00,9.50,200000,1.100296,FLIR
1993-08-17,9.50,10.00,9.50,9.50,459200,1.100296,FLIR
1993-08-18,9.50,10.00,9.50,9.75,50400,1.129251,FLIR
1993-08-19,9.50,9.75,9.00,9.625,548000,1.114773,FLIR
1993-08-20,9.00,9.75,9.00,9.50,8000,1.100296,FLIR
1993-08-23,9.75,9.75,9.375,9.375,49600,1.085818,FLIR
1993-08-24,9.25,9.75,9.25,9.25,9600,1.07134,FLIR
1993-08-25,9.50,9.75,9.25,9.25,48000,1.07134,FLIR
1993-08-26,9.25,9.75,9.125,9.25,176800,1.07134,FLIR
1993-08-27,9.25,9.75,9.25,9.25,64000,1.07134,FLIR
1993-08-30,9.75,9.75,9.25,9.25,89600,1.07134,FLIR
1993-08-31,9.25,9.75,9.25,9.75,23200,1.129251,FLIR
1993-09-01,9.125,9.50,9.125,9.25,138400,1.07134,FLIR
1993-09-02,9.75,9.75,9.25,9.50,479200,1.100296,FLIR
1993-09-03,9.50,9.75,9.25,9.75,395200,1.129251,FLIR
1993-09-07,9.75,9.75,9.00,9.50,280800,1.100296,FLIR
1993-09-08,9.00,9.50,8.50,8.50,715200,0.984475,FLIR
1993-09-09,9.00,9.25,8.50,9.25,97600,1.07134,FLIR
1993-09-10,9.25,9.25,8.75,9.25,194400,1.07134,FLIR
1993-09-13,9.00,9.25,8.75,9.25,52000,1.07134,FLIR
1993-09-14,9.25,9.75,8.75,9.75,582400,1.129251,FLIR
1993-09-15,9.50,10.75,9.50,10.75,358400,1.245071,FLIR
1993-09-16,10.25,10.75,10.00,10.50,76000,1.216116,FLIR
1993-09-17,10.00,10.75,10.00,10.00,145600,1.158206,FLIR
1993-09-20,10.00,10.00,10.00,10.00,38400,1.158206,FLIR
1993-09-21,10.00,10.00,9.00,9.125,268000,1.056863,FLIR
1993-09-22,9.25,9.75,9.25,9.50,80000,1.100296,FLIR
1993-09-23,9.75,10.00,9.50,9.50,360800,1.100296,FLIR
1993-09-24,9.875,10.00,9.50,10.00,92000,1.158206,FLIR
1993-09-27,10.00,10.75,9.75,10.75,378400,1.245071,FLIR
1993-09-28,10.375,11.25,10.25,11.00,1453600,1.274027,FLIR
1993-09-29,11.25,11.75,11.00,11.50,96000,1.331937,FLIR
1993-09-30,11.75,12.25,11.75,12.00,468000,1.389847,FLIR
1993-10-01,12.25,12.25,11.75,11.75,623200,1.360892,FLIR
1993-10-04,12.25,12.25,11.75,11.75,53600,1.360892,FLIR
1993-10-05,11.75,12.25,11.75,11.75,534400,1.360892,FLIR
1993-10-06,11.75,12.25,11.75,11.75,162400,1.360892,FLIR
1993-10-07,11.75,11.875,11.00,11.50,436000,1.331937,FLIR
1993-10-08,11.50,11.50,10.75,11.25,52000,1.302982,FLIR
1993-10-11,11.00,11.25,10.75,10.75,106400,1.245071,FLIR
1993-10-12,11.25,11.25,10.75,11.00,139200,1.274027,FLIR
1993-10-13,11.25,11.25,10.75,10.75,40800,1.245071,FLIR
1993-10-14,11.25,11.25,10.75,10.75,179200,1.245071,FLIR
1993-10-15,11.50,11.50,10.75,10.75,25600,1.245071,FLIR
1993-10-18,11.50,11.50,10.75,11.50,120000,1.331937,FLIR
1993-10-19,11.50,11.75,11.00,11.00,305600,1.274027,FLIR
1993-10-20,11.75,13.125,11.25,13.00,825600,1.505668,FLIR
1993-10-21,13.25,13.375,11.75,12.50,1156000,1.447757,FLIR
1993-10-22,12.50,13.00,12.25,12.75,234400,1.476713,FLIR
1993-10-25,12.25,12.75,12.25,12.375,237600,1.43328,FLIR
1993-10-26,12.25,12.375,11.50,12.00,505600,1.389847,FLIR
1993-10-27,12.00,12.00,11.00,11.125,288800,1.288504,FLIR
1993-10-28,11.50,11.50,11.00,11.25,564800,1.302982,FLIR
1993-10-29,11.75,11.75,10.50,11.00,344800,1.274027,FLIR
1993-11-01,11.00,11.25,10.50,11.25,216000,1.302982,FLIR
1993-11-02,11.25,11.25,10.50,11.00,727200,1.274027,FLIR
1993-11-03,11.25,11.25,10.75,11.25,169600,1.302982,FLIR
1993-11-04,11.25,11.25,10.50,10.50,283200,1.216116,FLIR
1993-11-05,10.75,11.00,10.25,10.50,76000,1.216116,FLIR
1993-11-08,10.00,10.25,10.00,10.25,32000,1.187161,FLIR
1993-11-09,10.00,10.75,10.00,10.75,32000,1.245071,FLIR
1993-11-10,10.75,11.25,10.00,11.25,302400,1.302982,FLIR
1993-11-11,10.75,11.50,10.75,11.50,84000,1.331937,FLIR
1993-11-12,11.50,11.50,10.75,11.00,41600,1.274027,FLIR
1993-11-15,10.75,11.25,10.75,11.25,23200,1.302982,FLIR
1993-11-16,11.50,11.50,10.75,10.75,93600,1.245071,FLIR
1993-11-17,10.75,11.50,10.75,11.50,12000,1.331937,FLIR
1993-11-18,11.50,11.50,10.75,10.75,7200,1.245071,FLIR
1993-11-19,10.75,11.50,10.75,10.75,25600,1.245071,FLIR
1993-11-22,10.75,10.75,10.75,10.75,12000,1.245071,FLIR
1993-11-23,11.125,11.50,10.75,11.50,389600,1.331937,FLIR
1993-11-24,11.00,11.00,10.75,11.00,31200,1.274027,FLIR
1993-11-26,11.00,11.50,11.00,11.50,3200,1.331937,FLIR
1993-11-29,11.50,11.50,10.75,11.50,4800,1.331937,FLIR
1993-11-30,11.50,11.50,10.75,10.75,4800,1.245071,FLIR
1993-12-01,10.75,11.125,10.75,11.00,42400,1.274027,FLIR
1993-12-02,10.75,11.25,10.75,11.00,258400,1.274027,FLIR
