Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1985-07-01,24.625019,25.125,24.625019,24.874981,1356400,1.457682,LB
1985-07-02,24.874981,25.000019,24.499981,25.000019,3328800,1.46501,LB
1985-07-03,25.000019,25.750019,25.000019,25.375019,2287600,1.486985,LB
1985-07-05,25.50,26.749981,25.50,26.749981,1562400,1.567558,LB
1985-07-08,27.124981,27.874981,27.124981,27.625019,1782000,1.618836,LB
1985-07-09,27.625019,27.75,25.50,25.750019,3498000,1.50896,LB
1985-07-10,25.750019,25.875,25.000019,25.750019,2174800,1.50896,LB
1985-07-11,25.875,26.749981,25.875,26.625,1339600,1.560234,LB
1985-07-12,26.749981,27.124981,26.749981,27.124981,1546000,1.589533,LB
1985-07-15,27.124981,27.250019,26.500019,26.500019,836400,1.55291,LB
1985-07-16,26.749981,27.00,26.749981,26.875019,784800,1.574885,LB
1985-07-17,26.875019,27.00,26.374981,27.00,540000,1.582209,LB
1985-07-18,26.749981,26.749981,26.374981,26.625,657600,1.560234,LB
1985-07-19,26.625,26.749981,26.500019,26.625,616000,1.560234,LB
1985-07-22,26.625,26.625,26.125019,26.374981,724800,1.545583,LB
1985-07-23,26.374981,27.00,25.624981,25.750019,1048000,1.50896,LB
1985-07-24,25.624981,25.624981,25.249981,25.624981,2109600,1.501633,LB
1985-07-25,25.624981,25.624981,25.000019,25.125,1389600,1.472334,LB
1985-07-26,25.000019,25.000019,24.75,25.000019,706800,1.46501,LB
1985-07-29,25.000019,25.000019,24.250019,24.250019,746800,1.42106,LB
1985-07-30,24.250019,24.375,23.875021,24.375,1918000,1.428383,LB
1985-07-31,24.375,24.874981,24.375,24.75,1254000,1.450359,LB
1985-08-01,24.874981,25.125,24.874981,25.000019,1556400,1.46501,LB
1985-08-02,25.000019,25.125,24.625019,24.625019,1167600,1.443035,LB
1985-08-05,24.625019,24.874981,24.375,24.375,557200,1.428383,LB
1985-08-06,24.375,24.75,24.250019,24.250019,484800,1.42106,LB
1985-08-07,24.250019,24.375,23.875021,23.875021,1201600,1.399084,LB
1985-08-08,23.875021,24.250019,23.875021,24.124981,494400,1.413732,LB
1985-08-09,24.124981,24.499981,24.124981,24.499981,403200,1.435707,LB
1985-08-12,24.499981,24.75,24.124981,24.250019,589200,1.42106,LB
1985-08-13,24.250019,25.000019,24.250019,24.75,1948800,1.450359,LB
1985-08-14,25.000019,25.50,25.000019,25.375019,543600,1.486985,LB
1985-08-15,25.375019,25.750019,25.125,25.125,534000,1.472334,LB
1985-08-16,25.125,25.125,24.75,25.000019,1872400,1.46501,LB
1985-08-19,25.000019,25.000019,24.75,24.874981,371200,1.457682,LB
1985-08-20,24.874981,24.874981,24.250019,24.499981,721200,1.435707,LB
1985-08-21,24.499981,25.125,24.375,25.125,564400,1.472334,LB
1985-08-22,25.125,25.249981,24.75,25.000019,211200,1.46501,LB
1985-08-23,25.000019,25.125,24.75,24.874981,499600,1.457682,LB
1985-08-26,24.874981,25.125,24.75,24.874981,367200,1.457682,LB
1985-08-27,24.874981,24.874981,24.75,24.75,154800,1.450359,LB
1985-08-28,24.75,25.000019,24.75,24.874981,166800,1.457682,LB
1985-08-29,24.874981,25.000019,24.75,24.75,805200,1.450359,LB
1985-08-30,24.75,24.75,24.250019,24.499981,559600,1.435707,LB
1985-09-03,24.499981,24.625019,24.124981,24.250019,406800,1.42106,LB
1985-09-04,24.250019,24.625019,24.124981,24.499981,1122000,1.435707,LB
1985-09-05,24.499981,24.499981,24.375,24.499981,887200,1.435707,LB
1985-09-06,24.499981,25.249981,24.375,25.249981,1104400,1.482079,LB
1985-09-09,25.249981,25.750019,25.125,25.50,1004800,1.496754,LB
1985-09-10,25.50,25.50,24.874981,24.874981,478000,1.460067,LB
1985-09-11,24.625019,24.625019,23.749979,23.875021,668400,1.401374,LB
1985-09-12,23.875021,24.124981,22.750021,22.999979,1296400,1.350012,LB
1985-09-13,22.999979,23.125021,22.125,22.999979,1666800,1.350012,LB
1985-09-16,22.999979,23.374979,22.750021,22.875,1332000,1.342676,LB
1985-09-17,22.875,22.999979,22.50,22.875,700800,1.342676,LB
1985-09-18,22.875,23.749979,22.624979,23.500021,576400,1.379362,LB
1985-09-19,23.625,24.499981,23.625,24.499981,1021200,1.438056,LB
1985-09-20,24.499981,25.000019,24.375,24.625019,1825600,1.445396,LB
1985-09-23,24.75,25.249981,24.75,25.000019,1626000,1.467407,LB
1985-09-24,25.000019,25.000019,24.625019,24.625019,526000,1.445396,LB
1985-09-25,24.625019,24.874981,23.25,23.374979,1128000,1.372023,LB
1985-09-26,23.374979,23.500021,23.125021,23.500021,1276000,1.379362,LB
1985-09-30,23.500021,23.625,23.25,23.625,829200,1.386698,LB
1985-10-01,23.625,24.499981,23.500021,24.375,1583200,1.43072,LB
1985-10-02,24.375,24.625019,24.00,24.124981,1133200,1.416045,LB
1985-10-03,24.124981,24.375,24.00,24.00,2140800,1.408709,LB
1985-10-04,23.749979,23.749979,22.999979,23.125021,1026000,1.357351,LB
1985-10-07,23.125021,23.125021,22.750021,22.875,1100800,1.342676,LB
1985-10-08,22.875,23.25,22.750021,22.750021,1772800,1.33534,LB
1985-10-09,22.750021,23.25,22.750021,23.125021,928000,1.357351,LB
1985-10-10,23.125021,23.749979,22.999979,23.749979,1058800,1.394034,LB
1985-10-11,23.749979,24.375,23.749979,24.375,499200,1.43072,LB
1985-10-14,24.375,24.625019,24.124981,24.625019,336000,1.445396,LB
1985-10-15,24.625019,25.249981,24.625019,24.75,1093600,1.452732,LB
1985-10-16,24.75,25.000019,24.625019,24.874981,190800,1.460067,LB
1985-10-17,24.874981,25.125,24.874981,25.000019,545200,1.467407,LB
1985-10-18,25.000019,25.249981,25.000019,25.125,533200,1.474743,LB
1985-10-21,25.249981,26.125019,25.249981,25.750019,863200,1.511429,LB
1985-10-22,25.750019,25.875,25.624981,25.875,1079200,1.518765,LB
1985-10-23,25.875,25.999981,25.000019,25.375019,1776400,1.489418,LB
1985-10-24,25.375019,25.50,25.125,25.249981,1292800,1.482079,LB
1985-10-25,25.249981,25.50,25.125,25.375019,481600,1.489418,LB
1985-10-28,25.375019,25.875,25.249981,25.50,721200,1.496754,LB
1985-10-29,25.50,26.875019,25.50,26.500019,3134800,1.555451,LB
1985-10-30,26.500019,26.749981,26.374981,26.625,802000,1.562787,LB
1985-10-31,26.749981,27.250019,26.749981,27.124981,1322400,1.592134,LB
1985-11-01,27.124981,27.499981,27.00,27.375,1177200,1.606809,LB
1985-11-04,27.375,27.625019,27.124981,27.375,1693200,1.606809,LB
1985-11-05,27.375,28.000019,27.250019,27.874981,1541200,1.636156,LB
1985-11-06,27.874981,28.249981,27.75,28.000019,1782000,1.643495,LB
1985-11-07,28.000019,29.25,27.874981,28.875,5672800,1.694854,LB
1985-11-08,28.875,30.124981,28.875,30.124981,4604400,1.768223,LB
1985-11-11,30.00,31.875,30.00,31.750019,2125600,1.863606,LB
1985-11-12,31.750019,31.875,30.874981,31.000019,2168400,1.819584,LB
1985-11-13,31.000019,31.125,30.75,30.874981,1249200,1.812245,LB
1985-11-14,30.874981,30.874981,30.375,30.625019,1463200,1.797573,LB
1985-11-15,30.625019,30.625019,29.749981,29.749981,914800,1.746212,LB
1985-11-18,29.749981,30.00,29.500019,29.749981,782400,1.746212,LB
1985-11-19,29.875019,30.375,29.875019,30.124981,1320400,1.768223,LB
1985-11-20,30.124981,30.250019,29.875019,30.124981,382000,1.768223,LB
1985-11-21,30.124981,30.75,30.00,30.250019,851200,1.775562,LB
1985-11-22,30.250019,30.499981,30.00,30.250019,1373200,1.775562,LB
1985-11-25,30.250019,30.375,29.500019,29.749981,754800,1.746212,LB
1985-11-26,29.625,29.625,28.999981,29.25,1902000,1.716865,LB
1985-11-27,29.25,29.25,28.624981,28.999981,2310000,1.702189,LB
1985-11-29,28.999981,29.125019,28.375019,28.750019,1189200,1.687518,LB
1985-12-02,28.750019,28.875,27.499981,27.75,1792800,1.631091,LB
1985-12-03,27.75,28.50,27.625019,28.249981,1708000,1.660479,LB
1985-12-04,28.375019,29.875019,28.375019,29.749981,2374000,1.748646,LB
1985-12-05,29.749981,29.749981,28.999981,29.374981,1199200,1.726604,LB
1985-12-06,29.374981,29.625,28.999981,29.25,723600,1.719258,LB
