Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1986-05-28,8.75,9.00,8.75,8.75,12833600,0.376926,LLTC
1986-05-29,9.00,9.25,9.00,9.00,3272000,0.387695,LLTC
1986-05-30,9.00,9.25,9.00,9.00,2070400,0.387695,LLTC
1986-06-02,9.00,9.25,9.00,9.00,1060800,0.387695,LLTC
1986-06-03,9.00,9.25,9.00,9.00,724800,0.387695,LLTC
1986-06-04,9.00,9.25,9.00,9.00,910400,0.387695,LLTC
1986-06-05,9.00,9.25,9.00,9.00,832000,0.387695,LLTC
1986-06-06,9.00,9.25,9.00,9.00,910400,0.387695,LLTC
1986-06-09,9.00,9.25,9.00,9.00,547200,0.387695,LLTC
1986-06-10,9.00,9.25,9.00,9.00,2284800,0.387695,LLTC
1986-06-11,9.00,9.00,8.75,8.75,718400,0.376926,LLTC
1986-06-12,8.75,9.25,8.75,8.75,1228800,0.376926,LLTC
1986-06-13,8.75,9.25,8.75,8.75,921600,0.376926,LLTC
1986-06-16,8.75,9.25,8.75,8.75,244800,0.376926,LLTC
1986-06-17,8.75,9.00,8.75,8.75,1377600,0.376926,LLTC
1986-06-18,8.375,8.375,8.00,8.00,1577600,0.344618,LLTC
1986-06-19,8.00,8.00,7.625,7.625,419200,0.328464,LLTC
1986-06-20,7.625,7.875,7.50,7.50,345600,0.323079,LLTC
1986-06-23,7.625,7.875,7.625,7.625,440000,0.328464,LLTC
1986-06-24,7.625,8.00,7.50,7.50,395200,0.323079,LLTC
1986-06-25,7.75,8.25,7.75,7.75,94400,0.333849,LLTC
1986-06-26,7.75,8.25,7.75,7.75,100800,0.333849,LLTC
1986-06-27,7.75,8.25,7.75,7.75,92800,0.333849,LLTC
1986-06-30,8.00,8.25,8.00,8.00,390400,0.344618,LLTC
1986-07-01,8.00,8.25,8.00,8.00,92800,0.344618,LLTC
1986-07-02,8.00,8.25,8.00,8.00,116800,0.344618,LLTC
