Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1987-11-05,12.00,12.00,11.50,12.00,33000,1.596786,LM
1987-11-06,11.75,12.25,11.625,11.625,27900,1.546886,LM
1987-11-09,11.50,11.75,11.125,11.125,104700,1.480353,LM
1987-11-10,10.875,11.00,10.625,10.875,146700,1.447087,LM
1987-11-11,10.875,11.50,10.875,11.25,52200,1.496987,LM
1987-11-12,11.25,11.50,11.125,11.125,24600,1.480353,LM
1987-11-13,11.00,11.25,10.625,10.875,58800,1.447087,LM
1987-11-16,11.00,11.00,10.75,10.875,72300,1.447087,LM
1987-11-17,10.875,11.25,10.75,10.875,191100,1.447087,LM
1987-11-18,10.625,10.75,10.50,10.75,51900,1.430454,LM
1987-11-19,11.00,11.00,10.375,10.75,88200,1.430454,LM
1987-11-20,10.50,10.50,10.375,10.50,34200,1.397188,LM
1987-11-23,10.25,10.75,10.25,10.625,71100,1.413821,LM
1987-11-24,10.50,11.00,10.50,10.625,144600,1.413821,LM
1987-11-25,10.50,10.875,10.50,10.75,36000,1.430454,LM
1987-11-27,10.625,11.25,10.50,11.125,42300,1.480353,LM
1987-11-30,10.875,10.875,10.50,10.50,100200,1.397188,LM
1987-12-01,10.625,10.75,10.50,10.625,69900,1.413821,LM
1987-12-02,10.625,10.625,10.00,10.00,171000,1.330655,LM
1987-12-03,10.125,10.125,9.75,9.75,97200,1.297389,LM
1987-12-04,9.625,9.875,9.625,9.625,62700,1.280755,LM
1987-12-07,9.50,10.00,9.50,10.00,28800,1.330655,LM
1987-12-08,9.875,10.00,9.75,10.00,23100,1.330655,LM
1987-12-09,9.75,10.00,9.75,10.00,31200,1.330655,LM
1987-12-10,9.875,9.875,9.75,9.875,32400,1.314022,LM
1987-12-11,9.75,10.00,9.625,10.00,47100,1.330655,LM
1987-12-14,9.75,10.125,9.75,10.125,75900,1.347288,LM
1987-12-15,10.00,10.625,9.875,10.50,65100,1.404819,LM
1987-12-16,10.625,10.625,9.625,10.00,89100,1.337923,LM
1987-12-17,9.875,10.00,9.625,10.00,14400,1.337923,LM
1987-12-18,10.00,11.25,9.75,11.25,568800,1.505163,LM
1987-12-21,11.00,11.25,10.625,10.875,91200,1.454991,LM
1987-12-22,10.75,11.00,10.625,11.00,41100,1.471715,LM
1987-12-23,10.875,11.00,10.50,10.625,88800,1.421543,LM
1987-12-24,10.50,11.25,10.375,11.25,69900,1.505163,LM
1987-12-28,11.00,11.00,10.625,11.00,36000,1.471715,LM
1987-12-29,11.00,11.25,10.875,11.00,54000,1.471715,LM
1987-12-30,10.75,11.00,10.75,11.00,49200,1.471715,LM
1987-12-31,10.75,11.00,10.50,10.875,170700,1.454991,LM
1988-01-04,10.75,11.125,10.75,11.125,39000,1.488439,LM
1988-01-05,11.125,11.375,11.00,11.25,68400,1.505163,LM
1988-01-06,11.125,11.50,11.00,11.50,63000,1.538611,LM
1988-01-07,11.625,12.875,11.625,12.875,48600,1.722575,LM
1988-01-08,12.625,12.875,11.625,11.625,53100,1.555335,LM
1988-01-11,11.50,11.50,11.125,11.25,27000,1.505163,LM
1988-01-12,11.00,11.25,11.00,11.25,13800,1.505163,LM
1988-01-13,11.125,11.875,11.125,11.875,21000,1.588783,LM
1988-01-14,11.75,11.875,11.50,11.875,12000,1.588783,LM
1988-01-15,11.875,12.00,11.625,11.75,17100,1.572059,LM
1988-01-18,11.75,11.875,11.625,11.625,9000,1.555335,LM
1988-01-19,11.50,12.00,11.50,12.00,11100,1.605507,LM
1988-01-20,12.25,12.25,11.50,11.50,30300,1.538611,LM
1988-01-21,11.50,11.50,11.25,11.25,15000,1.505163,LM
1988-01-22,11.25,11.25,11.25,11.25,22800,1.505163,LM
1988-01-25,11.125,11.25,11.125,11.25,18300,1.505163,LM
1988-01-26,11.125,11.25,11.125,11.125,4800,1.488439,LM
1988-01-27,11.25,11.25,11.125,11.125,55800,1.488439,LM
1988-01-28,11.375,11.625,11.25,11.625,102600,1.555335,LM
1988-01-29,11.50,11.625,11.375,11.625,29100,1.555335,LM
1988-02-01,11.875,12.00,11.75,11.75,42300,1.572059,LM
1988-02-02,11.625,11.75,11.50,11.75,6300,1.572059,LM
1988-02-03,11.50,11.75,11.375,11.50,15900,1.538611,LM
1988-02-04,11.75,11.75,11.50,11.50,13200,1.538611,LM
1988-02-05,11.50,11.625,11.375,11.375,52200,1.521887,LM
1988-02-08,11.375,11.375,11.125,11.25,24600,1.505163,LM
1988-02-09,11.25,11.375,11.125,11.25,9900,1.505163,LM
1988-02-10,11.50,11.50,11.25,11.25,54600,1.505163,LM
1988-02-11,11.375,11.375,10.875,10.875,166200,1.454991,LM
1988-02-12,10.875,10.875,10.50,10.625,154200,1.421543,LM
1988-02-16,10.875,11.00,10.50,11.00,122400,1.471715,LM
1988-02-17,11.25,11.375,11.00,11.25,15900,1.505163,LM
1988-02-18,11.25,11.25,10.75,10.75,18600,1.438267,LM
1988-02-19,10.75,10.875,10.75,10.875,26400,1.454991,LM
1988-02-22,10.50,11.00,10.50,11.00,52800,1.471715,LM
1988-02-23,11.00,11.00,10.75,10.75,139200,1.438267,LM
1988-02-24,10.875,11.00,10.75,11.00,11100,1.471715,LM
1988-02-25,11.00,11.00,10.875,10.875,67200,1.454991,LM
1988-02-26,10.875,10.875,10.625,10.625,7800,1.421543,LM
1988-02-29,10.75,11.00,10.50,10.50,76800,1.404819,LM
1988-03-01,10.875,11.00,10.75,11.00,187200,1.471715,LM
1988-03-02,10.875,12.00,10.875,11.50,56700,1.538611,LM
1988-03-03,11.75,11.75,11.625,11.75,264300,1.572059,LM
1988-03-04,11.75,12.00,11.75,11.875,27000,1.588783,LM
1988-03-07,11.75,11.875,11.75,11.875,40200,1.588783,LM
1988-03-08,11.875,12.25,11.75,12.00,136200,1.605507,LM
1988-03-09,12.25,12.375,12.00,12.00,40800,1.605507,LM
1988-03-10,11.875,12.25,11.875,12.00,60600,1.605507,LM
1988-03-11,12.125,12.125,11.75,11.875,12300,1.588783,LM
1988-03-14,12.125,12.125,11.875,11.875,10200,1.588783,LM
1988-03-15,11.875,12.125,11.875,12.125,70800,1.622231,LM
1988-03-16,12.00,12.00,11.75,12.00,26400,1.612823,LM
1988-03-17,12.125,12.125,12.00,12.125,87900,1.629623,LM
1988-03-18,12.25,12.25,12.00,12.125,61200,1.629623,LM
1988-03-21,12.125,12.125,11.875,11.875,21900,1.596023,LM
1988-03-22,11.75,11.75,11.625,11.625,12000,1.562422,LM
1988-03-23,11.50,11.625,11.375,11.50,21000,1.545622,LM
1988-03-24,11.25,11.25,10.875,11.00,27000,1.478421,LM
1988-03-25,11.25,11.25,11.00,11.00,17100,1.478421,LM
1988-03-28,10.875,10.875,10.75,10.75,14400,1.444821,LM
1988-03-29,10.875,10.875,10.75,10.75,8700,1.444821,LM
1988-03-30,10.75,10.875,10.75,10.75,3000,1.444821,LM
1988-03-31,10.625,11.125,10.625,11.00,69000,1.478421,LM
1988-04-04,10.875,11.00,10.875,10.875,7800,1.461621,LM
1988-04-05,10.75,10.875,10.75,10.875,56700,1.461621,LM
1988-04-06,11.00,11.25,11.00,11.125,40200,1.495221,LM
1988-04-07,11.00,11.50,11.00,11.25,9000,1.512022,LM
1988-04-08,11.00,11.50,11.00,11.50,23100,1.545622,LM
1988-04-11,11.375,11.375,11.375,11.375,8700,1.528822,LM
1988-04-12,11.25,11.375,11.25,11.25,36300,1.512022,LM
1988-04-13,11.25,11.375,11.125,11.25,94800,1.512022,LM
1988-04-14,11.125,11.125,10.625,10.625,43200,1.42802,LM
1988-04-15,10.50,10.625,10.50,10.625,224700,1.42802,LM
1988-04-18,10.50,10.875,10.50,10.625,410400,1.42802,LM
1988-04-19,10.625,10.875,10.50,10.75,46200,1.444821,LM
1988-04-20,10.625,10.75,10.625,10.625,18600,1.42802,LM
1988-04-21,10.625,10.875,10.625,10.625,6600,1.42802,LM
1988-04-22,10.50,10.75,10.50,10.75,216600,1.444821,LM
1988-04-25,10.625,10.875,10.625,10.875,12300,1.461621,LM
1988-04-26,10.875,11.00,10.875,10.875,9900,1.461621,LM
1988-04-27,10.875,10.875,10.75,10.875,36000,1.461621,LM
1988-04-28,10.75,10.75,10.625,10.75,35100,1.444821,LM
1988-04-29,10.875,10.875,10.75,10.875,82800,1.461621,LM
1988-05-02,10.75,10.875,10.75,10.875,10200,1.461621,LM
1988-05-03,10.75,10.75,10.75,10.75,1200,1.444821,LM
1988-05-04,10.75,10.75,10.75,10.75,6000,1.444821,LM
1988-05-05,10.875,10.875,10.75,10.75,7800,1.444821,LM
1988-05-06,10.625,10.75,10.625,10.625,16200,1.42802,LM
1988-05-09,10.50,10.50,10.25,10.25,237900,1.37762,LM
1988-05-10,10.375,10.375,10.25,10.375,11100,1.39442,LM
1988-05-11,10.25,10.25,9.75,9.875,66300,1.327219,LM
1988-05-12,9.875,10.00,9.875,10.00,10200,1.344019,LM
1988-05-13,9.875,10.00,9.875,9.875,21000,1.327219,LM
1988-05-16,10.125,10.125,9.875,9.875,16800,1.327219,LM
1988-05-17,10.00,10.00,10.00,10.00,2400,1.344019,LM
1988-05-18,9.75,9.75,9.625,9.75,126000,1.310419,LM
1988-05-19,9.75,9.75,9.50,9.625,18600,1.293618,LM
1988-05-20,9.625,9.625,9.50,9.50,87900,1.276818,LM
