Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1980-03-17,21.875,22.75,21.875,22.25,356800,1.085185,NEE
1980-03-18,22.375,23.125,22.375,22.875,436400,1.115668,NEE
1980-03-19,22.875,23.25,22.875,23.00,147200,1.121765,NEE
1980-03-20,23.00,23.125,22.75,22.875,313200,1.115668,NEE
1980-03-21,22.75,22.75,22.00,22.25,317600,1.085185,NEE
1980-03-24,22.25,22.25,22.00,22.00,165600,1.072992,NEE
1980-03-25,22.00,22.125,21.75,21.75,298800,1.060799,NEE
1980-03-26,21.875,22.25,21.875,22.125,413600,1.079089,NEE
1980-03-27,22.125,22.50,21.875,22.125,246000,1.079089,NEE
1980-03-28,22.25,23.00,22.25,23.00,276400,1.121765,NEE
1980-03-31,23.00,23.625,22.75,23.50,390800,1.146151,NEE
1980-04-01,23.50,24.375,23.50,24.25,534400,1.18273,NEE
1980-04-02,24.25,24.625,24.00,24.25,1085600,1.18273,NEE
1980-04-03,24.25,24.375,24.125,24.25,38800,1.18273,NEE
1980-04-07,24.25,24.375,23.75,23.875,266800,1.16444,NEE
1980-04-08,23.875,23.875,23.625,23.875,434800,1.16444,NEE
1980-04-09,23.875,24.625,23.75,24.25,385600,1.18273,NEE
1980-04-10,24.25,24.75,24.25,24.75,538000,1.207116,NEE
1980-04-11,24.75,24.75,24.25,24.50,421600,1.194923,NEE
1980-04-14,24.50,24.625,24.125,24.50,292000,1.194923,NEE
1980-04-15,24.50,24.875,24.25,24.75,380000,1.207116,NEE
1980-04-16,24.75,25.375,24.75,25.00,1662800,1.219309,NEE
1980-04-17,25.00,26.00,25.00,25.875,758400,1.261985,NEE
1980-04-18,26.125,26.625,26.125,26.375,450800,1.286371,NEE
1980-04-21,26.375,26.75,26.25,26.50,344800,1.292468,NEE
1980-04-22,26.50,26.875,26.375,26.75,742000,1.304661,NEE
1980-04-23,26.75,27.25,26.75,27.00,958800,1.316854,NEE
1980-04-24,27.00,27.375,27.00,27.375,1943200,1.335144,NEE
1980-04-25,27.25,27.25,26.75,27.00,670000,1.316854,NEE
1980-04-28,27.00,27.00,26.875,27.00,179600,1.316854,NEE
1980-04-29,26.875,26.875,26.25,26.375,449200,1.286371,NEE
1980-04-30,26.375,26.50,26.00,26.25,156000,1.280275,NEE
1980-05-01,26.25,26.25,26.00,26.125,161600,1.274178,NEE
