Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1994-10-18,16.00,16.125,15.75,16.00,405200,1.848183,O
1994-10-19,16.125,17.50,16.125,17.375,242200,2.007011,O
1994-10-20,17.625,18.125,17.50,17.50,137200,2.02145,O
1994-10-21,17.50,17.625,17.125,17.25,66600,1.992572,O
1994-10-24,17.25,17.625,16.875,16.875,73400,1.949255,O
1994-10-25,16.75,17.25,16.50,17.125,63200,1.978133,O
1994-10-26,16.875,17.125,16.875,16.875,46200,1.96648,O
1994-10-27,16.875,17.125,16.875,16.875,33800,1.96648,O
1994-10-28,16.875,17.00,16.625,16.625,40000,1.937347,O
1994-10-31,16.75,16.875,16.625,16.625,32800,1.937347,O
1994-11-01,16.625,16.75,16.50,16.625,33000,1.937347,O
1994-11-02,16.625,16.75,16.125,16.50,73200,1.92278,O
1994-11-03,16.625,16.75,16.375,16.375,54800,1.908214,O
1994-11-04,16.375,16.50,16.00,16.00,65600,1.864514,O
1994-11-07,16.00,16.25,16.00,16.00,71200,1.864514,O
1994-11-08,16.00,16.25,16.00,16.25,103000,1.893647,O
1994-11-09,16.125,16.375,16.125,16.125,60000,1.879081,O
1994-11-10,16.00,16.375,15.625,15.75,74200,1.835381,O
1994-11-11,15.875,15.875,15.25,15.625,78400,1.820815,O
1994-11-14,15.50,15.875,15.25,15.75,63800,1.835381,O
1994-11-15,15.375,15.75,15.25,15.375,68200,1.791682,O
1994-11-16,15.375,15.625,15.25,15.50,83200,1.806248,O
1994-11-17,15.25,15.625,15.25,15.625,96400,1.820815,O
1994-11-18,15.50,15.50,15.25,15.25,110400,1.777115,O
1994-11-21,15.50,15.75,15.25,15.50,132600,1.806248,O
1994-11-22,15.375,15.625,15.375,15.50,90200,1.806248,O
1994-11-23,15.375,15.625,15.375,15.625,47000,1.820815,O
1994-11-25,15.25,15.625,15.25,15.625,32800,1.838464,O
1994-11-28,15.625,15.875,15.50,15.875,66400,1.867879,O
1994-11-29,15.875,16.00,15.75,15.75,46600,1.853172,O
1994-11-30,15.875,16.125,15.75,16.00,70400,1.882587,O
1994-12-01,16.00,16.125,15.875,16.125,66600,1.897295,O
1994-12-02,16.00,16.125,15.875,15.875,30600,1.867879,O
1994-12-05,15.75,16.00,15.75,15.875,44200,1.867879,O
1994-12-06,15.75,15.875,15.625,15.875,42000,1.867879,O
1994-12-07,15.625,15.875,15.625,15.875,33000,1.867879,O
1994-12-08,15.75,16.00,15.75,15.75,37400,1.853172,O
1994-12-09,15.625,15.875,15.625,15.75,70400,1.853172,O
1994-12-12,15.875,16.00,15.75,15.75,31000,1.853172,O
1994-12-13,15.875,15.875,15.75,15.75,67200,1.853172,O
1994-12-14,15.875,16.00,15.625,16.00,109400,1.882587,O
1994-12-15,16.00,16.25,15.875,16.00,42800,1.882587,O
1994-12-16,16.25,16.875,16.125,16.50,80800,1.941418,O
1994-12-19,16.625,17.00,16.50,16.75,76600,1.970833,O
1994-12-20,16.50,16.75,16.25,16.75,55800,1.970833,O
1994-12-21,16.625,16.875,16.625,16.75,53400,1.970833,O
1994-12-22,16.75,16.875,16.625,16.75,57600,1.970833,O
1994-12-23,16.75,16.875,16.625,16.625,44000,1.956126,O
1994-12-27,16.50,16.875,16.25,16.375,45600,1.944252,O
1994-12-28,16.50,16.625,16.375,16.625,40800,1.973935,O
1994-12-29,16.50,16.50,16.375,16.50,63200,1.959094,O
1994-12-30,16.50,17.125,16.375,17.125,103000,2.033302,O
1995-01-03,16.875,17.00,16.75,16.875,45800,2.003619,O
1995-01-04,16.75,16.875,16.50,16.50,21200,1.959094,O
1995-01-05,16.50,16.75,16.375,16.625,15600,1.973935,O
1995-01-06,16.50,16.625,16.375,16.625,16000,1.973935,O
1995-01-09,16.625,17.125,16.625,17.00,48000,2.01846,O
1995-01-10,17.25,17.25,16.875,17.00,20000,2.01846,O
1995-01-11,16.875,17.25,16.875,17.00,16200,2.01846,O
1995-01-12,17.00,17.25,17.00,17.25,26200,2.048144,O
1995-01-13,17.25,17.50,17.25,17.375,23000,2.062985,O
1995-01-16,17.50,17.50,17.25,17.375,20400,2.062985,O
1995-01-17,17.375,17.50,17.25,17.375,16800,2.062985,O
1995-01-18,17.50,17.625,17.50,17.50,30600,2.077827,O
1995-01-19,17.50,17.75,17.375,17.50,21200,2.077827,O
1995-01-20,17.625,17.625,17.375,17.375,19600,2.062985,O
1995-01-23,17.50,18.00,17.375,17.75,42400,2.10751,O
1995-01-24,17.875,17.875,17.625,17.625,34000,2.092668,O
1995-01-25,17.75,17.75,17.50,17.625,22000,2.092668,O
1995-01-26,17.375,17.75,17.375,17.625,14000,2.110631,O
1995-01-27,17.625,18.00,17.625,18.00,37800,2.155538,O
1995-01-30,18.00,18.125,17.75,18.00,51200,2.155538,O
1995-01-31,17.875,17.875,17.50,17.75,36800,2.1256,O
1995-02-01,17.625,17.875,17.625,17.75,42400,2.1256,O
1995-02-02,17.50,17.875,17.375,17.625,47000,2.110631,O
1995-02-03,17.50,17.875,17.375,17.625,91600,2.110631,O
1995-02-06,17.875,18.125,17.625,17.75,51200,2.1256,O
1995-02-07,17.75,18.125,17.75,18.00,48800,2.155538,O
1995-02-08,17.75,18.00,17.50,17.50,53600,2.095662,O
1995-02-09,17.75,18.125,17.75,18.00,55200,2.155538,O
1995-02-10,18.00,18.00,17.75,18.00,20600,2.155538,O
1995-02-13,17.875,18.125,17.875,18.00,33400,2.155538,O
1995-02-14,18.00,18.25,17.875,18.25,28600,2.185476,O
1995-02-15,18.375,18.75,18.375,18.625,77400,2.230383,O
1995-02-16,18.75,19.00,18.625,19.00,71400,2.27529,O
1995-02-17,19.00,19.25,18.75,19.00,128000,2.27529,O
1995-02-21,18.875,19.00,18.625,18.625,32400,2.230383,O
1995-02-22,18.875,19.00,18.50,18.875,21200,2.260321,O
1995-02-23,18.625,18.625,18.00,18.25,41800,2.202983,O
1995-02-24,18.375,18.75,18.375,18.75,44800,2.263339,O
1995-02-27,18.625,18.875,18.50,18.50,37400,2.233161,O
1995-02-28,18.625,19.125,18.625,19.00,24000,2.293517,O
1995-03-01,19.00,19.00,18.625,18.875,14400,2.278428,O
1995-03-02,18.75,18.875,18.625,18.75,14400,2.263339,O
1995-03-03,18.75,18.875,18.625,18.75,15600,2.263339,O
1995-03-06,18.625,18.625,18.25,18.50,15200,2.233161,O
1995-03-07,18.375,18.625,18.25,18.50,32000,2.233161,O
1995-03-08,18.50,18.50,18.25,18.50,42000,2.233161,O
1995-03-09,18.625,18.75,18.625,18.625,12600,2.24825,O
1995-03-10,18.625,18.625,18.50,18.625,18800,2.24825,O
1995-03-13,18.50,18.75,18.50,18.625,39400,2.24825,O
1995-03-14,18.875,18.875,18.25,18.50,44400,2.233161,O
1995-03-15,18.625,18.75,18.00,18.125,36000,2.187895,O
1995-03-16,18.00,18.375,17.625,18.375,68400,2.218072,O
1995-03-17,18.25,18.625,18.125,18.375,27400,2.218072,O
1995-03-20,18.25,18.50,18.125,18.25,46200,2.202983,O
1995-03-21,18.25,18.50,18.125,18.125,18600,2.187895,O
1995-03-22,18.00,18.125,17.875,18.125,28800,2.187895,O
1995-03-23,18.00,18.25,18.00,18.25,18800,2.202983,O
1995-03-24,18.25,18.50,18.00,18.00,36400,2.172806,O
1995-03-27,17.875,18.25,17.875,18.00,43600,2.172806,O
1995-03-28,18.00,18.125,17.875,18.00,46600,2.191064,O
1995-03-29,18.00,18.375,18.00,18.25,26200,2.221496,O
1995-03-30,18.25,18.375,18.00,18.00,21800,2.191064,O
1995-03-31,18.00,18.25,18.00,18.125,30600,2.20628,O
1995-04-03,17.875,18.125,17.875,18.00,28000,2.191064,O
1995-04-04,18.00,18.25,18.00,18.125,12000,2.20628,O
1995-04-05,18.00,18.375,18.00,18.125,30400,2.20628,O
1995-04-06,18.25,18.25,18.00,18.00,29400,2.191064,O
