Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1972-06-01,22.0312,22.37504,21.12496,22.37504,992000,0.263707,PBI
1972-06-02,22.87504,23.87504,22.87504,23.75008,787200,0.279913,PBI
1972-06-05,23.50,23.50,23.00,23.24992,334400,0.274018,PBI
1972-06-06,23.24992,23.50,23.12496,23.24992,324800,0.274018,PBI
1972-06-07,23.24992,23.37504,22.87504,22.87504,440000,0.2696,PBI
1972-06-08,22.87504,23.00,22.50,22.62496,502400,0.266653,PBI
1972-06-09,22.62496,23.24992,22.62496,22.75008,275200,0.268127,PBI
1972-06-12,22.75008,23.12496,22.75008,23.00,171200,0.271073,PBI
1972-06-13,23.00,23.50,22.75008,23.50,272000,0.276966,PBI
1972-06-14,23.50,24.24992,23.50,23.87504,484800,0.281386,PBI
1972-06-15,23.87504,24.37504,23.75008,23.75008,486400,0.279913,PBI
1972-06-16,23.75008,23.87504,22.75008,22.75008,566400,0.268127,PBI
1972-06-19,22.75008,23.12496,22.75008,22.75008,161600,0.268127,PBI
1972-06-20,23.00,23.50,23.00,23.50,353600,0.276966,PBI
1972-06-21,23.37504,23.37504,23.12496,23.37504,187200,0.275493,PBI
1972-06-22,23.37504,23.75008,23.12496,23.62496,144000,0.278438,PBI
1972-06-23,23.62496,23.75008,23.24992,23.24992,140800,0.274018,PBI
1972-06-26,23.24992,23.37504,22.87504,23.12496,128000,0.272546,PBI
1972-06-27,23.12496,23.50,22.87504,23.00,228800,0.271073,PBI
1972-06-28,22.87504,22.87504,22.37504,22.62496,174400,0.266653,PBI
1972-06-29,22.62496,22.62496,22.37504,22.50,84800,0.26518,PBI
1972-06-30,22.50,22.75008,22.50,22.75008,140800,0.268127,PBI
1972-07-03,22.75008,22.75008,22.50,22.62496,70400,0.266653,PBI
1972-07-05,22.62496,22.87504,22.37504,22.75008,163200,0.268127,PBI
1972-07-06,22.75008,23.37504,22.50,22.75008,452800,0.268127,PBI
1972-07-07,22.75008,23.12496,22.62496,23.12496,120000,0.272546,PBI
1972-07-10,23.12496,23.12496,22.50,22.75008,113600,0.268127,PBI
1972-07-11,22.75008,22.87504,22.50,22.87504,251200,0.2696,PBI
1972-07-12,22.87504,23.50,22.87504,23.24992,220800,0.274018,PBI
1972-07-13,23.12496,23.12496,22.75008,22.87504,283200,0.2696,PBI
1972-07-14,22.87504,23.00,22.62496,22.87504,126400,0.2696,PBI
1972-07-17,22.87504,22.87504,21.62496,21.75008,580800,0.256341,PBI
1972-07-18,21.75008,21.75008,20.75008,21.12496,984000,0.248974,PBI
1972-07-19,21.12496,21.37504,20.75008,21.00,233600,0.247501,PBI
1972-07-20,20.87504,20.87504,20.12496,20.37504,214400,0.240136,PBI
1972-07-21,20.37504,20.62496,20.24992,20.62496,235200,0.243081,PBI
1972-07-24,20.62496,21.00,20.50,21.00,313600,0.247501,PBI
1972-07-25,21.00,21.37504,21.00,21.00,320000,0.247501,PBI
1972-07-26,21.00,21.12496,20.12496,20.50,198400,0.241608,PBI
1972-07-27,20.50,20.50,20.00,20.00,156800,0.235715,PBI
1972-07-28,20.00,20.12496,19.50,20.12496,553600,0.237188,PBI
1972-07-31,20.12496,20.37504,19.87504,20.12496,198400,0.237188,PBI
1972-08-01,20.12496,20.37504,20.12496,20.24992,188800,0.238661,PBI
1972-08-02,20.37504,21.37504,20.37504,21.37504,294400,0.251921,PBI
1972-08-03,21.37504,21.87504,21.12496,21.87504,635200,0.257814,PBI
1972-08-04,21.87504,21.87504,21.50,21.62496,99200,0.254867,PBI
1972-08-07,21.62496,21.75008,21.00,21.37504,169600,0.251921,PBI
1972-08-08,21.12496,21.12496,20.24992,20.62496,420800,0.243081,PBI
1972-08-09,20.62496,21.37504,20.62496,21.12496,280000,0.248974,PBI
1972-08-10,21.00,21.00,20.50,20.62496,1827200,0.243081,PBI
1972-08-11,20.62496,21.00,20.00,21.00,1174400,0.247501,PBI
1972-08-14,21.00,21.24992,20.50,20.75008,1302400,0.244556,PBI
1972-08-15,20.75008,20.75008,20.12496,20.37504,232000,0.240136,PBI
1972-08-16,20.37504,20.62496,20.24992,20.62496,244800,0.243081,PBI
1972-08-17,20.50,20.50,20.00,20.24992,545600,0.238661,PBI
1972-08-18,20.24992,20.75008,20.12496,20.75008,780800,0.244556,PBI
1972-08-21,21.00,21.87504,21.00,21.62496,507200,0.254867,PBI
1972-08-22,21.62496,22.37504,21.50,22.37504,408000,0.265798,PBI
1972-08-23,22.24992,22.24992,21.75008,22.12496,353600,0.262827,PBI
1972-08-24,22.12496,22.12496,21.62496,21.75008,228800,0.258374,PBI
1972-08-25,21.75008,21.75008,21.00,21.24992,460800,0.252432,PBI
1972-08-28,21.24992,21.50,21.00,21.37504,657600,0.253918,PBI
