Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1973-05-03,9.25002,9.49998,9.25002,9.25002,24000,0.908739,PNR
1973-05-04,9.87498,10.37502,9.87498,9.87498,40000,0.970136,PNR
1973-05-07,9.375,9.87498,9.375,9.375,44400,0.921017,PNR
1973-05-08,9.25002,9.49998,9.25002,9.25002,16000,0.908739,PNR
1973-05-09,9.49998,9.87498,9.49998,9.49998,21600,0.933295,PNR
1973-05-10,9.49998,9.87498,9.49998,9.49998,6400,0.933295,PNR
1973-05-11,9.49998,9.87498,9.49998,9.49998,9600,0.933295,PNR
1973-05-14,9.49998,9.87498,9.49998,9.49998,16000,0.933295,PNR
1973-05-15,9.49998,9.87498,9.49998,9.49998,23200,0.933295,PNR
1973-05-16,9.375,9.87498,9.375,9.375,13600,0.921017,PNR
1973-05-17,9.49998,9.87498,9.49998,9.49998,22000,0.933295,PNR
1973-05-18,9.12498,9.49998,9.12498,9.12498,22000,0.896455,PNR
1973-05-21,8.37498,8.74998,8.37498,8.37498,51600,0.822773,PNR
1973-05-22,8.37498,8.74998,8.37498,8.37498,7200,0.822773,PNR
1973-05-23,8.25,8.50002,8.25,8.25,20400,0.810495,PNR
1973-05-24,7.75002,8.25,7.75002,7.75002,37200,0.761376,PNR
1973-05-25,7.99998,8.37498,7.99998,7.99998,29200,0.785933,PNR
1973-05-29,7.99998,8.37498,7.99998,7.99998,10800,0.785933,PNR
1973-05-30,7.75002,8.25,7.75002,7.75002,400,0.761376,PNR
1973-05-31,7.75002,8.25,7.75002,7.75002,20400,0.761376,PNR
1973-06-01,7.75002,8.25,7.75002,7.75002,4000,0.761376,PNR
1973-06-04,7.75002,8.25,7.75002,7.75002,1600,0.761376,PNR
1973-06-05,7.75002,8.25,7.75002,7.75002,20800,0.761376,PNR
1973-06-06,7.75002,8.25,7.75002,7.75002,10800,0.761376,PNR
1973-06-07,7.75002,8.25,7.75002,7.75002,5200,0.761376,PNR
1973-06-08,7.99998,8.37498,7.99998,7.99998,6400,0.785933,PNR
1973-06-11,8.25,8.625,8.25,8.25,14800,0.810495,PNR
1973-06-12,8.37498,8.74998,8.37498,8.37498,15600,0.822773,PNR
1973-06-13,8.37498,8.74998,8.37498,8.37498,3600,0.822773,PNR
1973-06-14,8.25,8.625,8.25,8.25,10800,0.810495,PNR
1973-06-15,8.25,8.625,8.25,8.25,8800,0.810495,PNR
1973-06-18,7.75002,8.25,7.75002,7.75002,13600,0.761376,PNR
1973-06-19,7.75002,8.25,7.75002,7.75002,5200,0.761376,PNR
1973-06-20,7.99998,8.37498,7.99998,7.99998,4000,0.785933,PNR
1973-06-21,7.75002,8.25,7.75002,7.75002,9600,0.761376,PNR
1973-06-22,7.75002,8.25,7.75002,7.75002,19200,0.761376,PNR
1973-06-25,7.75002,8.25,7.75002,7.75002,5200,0.761376,PNR
1973-06-26,7.75002,8.25,7.75002,7.75002,7600,0.761376,PNR
1973-06-27,7.62498,7.99998,7.62498,7.62498,10800,0.749092,PNR
1973-06-28,7.37502,7.75002,7.37502,7.37502,14800,0.724535,PNR
1973-06-29,7.37502,7.75002,7.37502,7.37502,8800,0.724535,PNR
1973-07-02,7.37502,7.75002,7.37502,7.37502,3600,0.724535,PNR
1973-07-03,7.37502,7.75002,7.37502,7.37502,1600,0.724535,PNR
1973-07-05,7.37502,7.75002,7.37502,7.37502,400,0.724535,PNR
1973-07-06,7.37502,7.75002,7.37502,7.37502,3600,0.724535,PNR
1973-07-09,7.62498,7.99998,7.62498,7.62498,4000,0.749092,PNR
1973-07-10,7.75002,8.25,7.75002,7.75002,4000,0.761376,PNR
1973-07-11,7.75002,8.25,7.75002,7.75002,400,0.761376,PNR
1973-07-12,7.75002,8.25,7.75002,7.75002,5200,0.761376,PNR
1973-07-13,7.75002,8.25,7.75002,7.75002,1200,0.761376,PNR
1973-07-16,7.75002,8.25,7.75002,7.75002,4000,0.761376,PNR
1973-07-17,7.75002,8.25,7.75002,7.75002,7600,0.761376,PNR
1973-07-18,7.75002,8.25,7.75002,7.75002,6400,0.761376,PNR
1973-07-19,7.75002,8.25,7.75002,7.75002,3600,0.761376,PNR
1973-07-20,7.75002,8.25,7.75002,7.75002,3600,0.761376,PNR
1973-07-23,7.75002,8.25,7.75002,7.75002,10800,0.761376,PNR
1973-07-24,7.99998,8.37498,7.99998,7.99998,10000,0.785933,PNR
1973-07-25,8.50002,9.00,8.50002,8.50002,28800,0.835057,PNR
1973-07-26,9.375,9.87498,9.375,9.375,32400,0.921017,PNR
1973-07-27,9.375,9.87498,9.375,9.375,10800,0.921017,PNR
1973-07-30,9.375,9.87498,9.375,9.375,25600,0.921017,PNR
1973-07-31,9.49998,9.87498,9.49998,9.49998,12000,0.933295,PNR
1973-08-01,9.375,9.87498,9.375,9.375,18400,0.921017,PNR
1973-08-02,9.12498,9.49998,9.12498,9.12498,18000,0.896455,PNR
