Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1991-12-17,20.00,23.50,20.00,23.25,15815400,10.67022,PRGO
1991-12-18,23.00,23.25,22.75,23.00,2662600,10.555486,PRGO
1991-12-19,22.75,23.00,22.25,22.50,1017600,10.326019,PRGO
1991-12-20,23.00,23.25,22.50,23.00,513800,10.555486,PRGO
1991-12-23,22.75,23.75,22.75,23.75,493200,10.899687,PRGO
1991-12-24,23.75,24.25,23.25,24.00,492400,11.014421,PRGO
1991-12-26,23.75,27.50,23.75,27.00,582600,12.391223,PRGO
1991-12-27,27.00,27.25,25.75,27.00,720800,12.391223,PRGO
1991-12-30,26.75,30.75,26.75,28.50,1435000,13.079624,PRGO
1991-12-31,29.00,29.75,28.50,29.75,440800,13.653292,PRGO
1992-01-02,29.00,29.50,27.75,28.50,1389600,13.079624,PRGO
1992-01-03,28.50,30.50,28.50,30.25,353800,13.882759,PRGO
1992-01-06,30.25,31.00,29.75,31.00,442800,14.22696,PRGO
1992-01-07,30.75,30.75,29.75,30.00,666200,13.768026,PRGO
1992-01-08,29.50,30.75,29.25,30.00,975000,13.768026,PRGO
1992-01-09,30.25,30.25,29.00,29.00,376800,13.309091,PRGO
1992-01-10,29.50,29.75,29.00,29.75,426600,13.653292,PRGO
1992-01-13,30.00,30.50,29.25,30.50,62600,13.997493,PRGO
1992-01-14,30.50,30.625,29.75,30.25,56800,13.882759,PRGO
1992-01-15,30.00,30.50,29.75,30.00,251600,13.768026,PRGO
1992-01-16,29.75,30.25,28.75,29.50,801000,13.538559,PRGO
1992-01-17,29.00,29.25,28.50,28.75,288400,13.194358,PRGO
1992-01-20,28.75,29.25,27.25,27.25,242800,12.505957,PRGO
1992-01-21,27.00,27.25,24.25,27.00,823200,12.391223,PRGO
1992-01-22,26.75,27.75,26.75,27.50,171400,12.62069,PRGO
1992-01-23,28.50,29.75,28.00,29.50,578800,13.538559,PRGO
1992-01-24,30.00,31.25,29.25,31.00,591600,14.22696,PRGO
1992-01-27,30.75,31.50,30.75,31.00,484800,14.22696,PRGO
1992-01-28,31.50,31.50,30.75,31.25,556200,14.341693,PRGO
1992-01-29,31.50,32.50,31.25,31.75,410000,14.57116,PRGO
1992-01-30,31.25,32.00,31.25,31.875,195000,14.628527,PRGO
1992-01-31,31.50,32.50,31.50,32.00,194600,14.685894,PRGO
1992-02-03,32.00,32.50,32.00,32.50,70600,14.915361,PRGO
1992-02-04,32.50,33.25,32.00,32.75,494600,15.030095,PRGO
1992-02-05,32.75,33.00,32.50,32.50,196400,14.915361,PRGO
1992-02-06,32.50,33.00,32.50,33.00,524000,15.144828,PRGO
1992-02-07,33.00,33.25,32.50,33.25,183600,15.259562,PRGO
1992-02-10,33.25,33.75,32.75,33.75,125000,15.489029,PRGO
1992-02-11,33.75,34.25,32.00,33.25,517400,15.259562,PRGO
1992-02-12,33.50,33.75,33.00,33.25,153800,15.259562,PRGO
1992-02-13,33.875,34.00,32.75,33.00,292800,15.144828,PRGO
1992-02-14,32.75,33.00,32.25,32.50,234400,14.915361,PRGO
1992-02-18,32.50,33.00,32.25,32.75,171800,15.030095,PRGO
1992-02-19,33.00,33.00,31.75,32.00,278200,14.685894,PRGO
