Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1980-01-02,24.00,24.375,24.00,24.24999,23400,2.677107,R
1980-01-03,23.625,23.625,22.74999,23.37501,131400,2.580513,R
1980-01-04,23.37501,23.625,23.12499,23.49999,85500,2.59431,R
1980-01-07,23.00001,23.00001,23.00001,23.00001,34200,2.539114,R
1980-01-08,23.00001,23.00001,22.25001,22.50,797100,2.483915,R
1980-01-09,23.25,23.75001,23.25,23.49999,227700,2.59431,R
1980-01-10,23.49999,24.12501,23.37501,24.12501,46200,2.66331,R
1980-01-11,24.24999,25.25001,24.24999,24.87501,207300,2.746107,R
1980-01-14,24.99999,25.37499,24.99999,25.37499,221700,2.801303,R
1980-01-15,25.37499,25.37499,25.125,25.25001,60600,2.787506,R
1980-01-16,25.25001,25.25001,25.125,25.25001,40800,2.787506,R
1980-01-17,25.25001,25.37499,25.125,25.25001,30900,2.787506,R
1980-01-18,25.25001,25.37499,25.125,25.25001,21300,2.787506,R
1980-01-21,25.25001,25.74999,25.125,25.62501,96300,2.828904,R
1980-01-22,25.62501,26.00001,25.50,25.62501,46200,2.828904,R
1980-01-23,25.62501,26.00001,25.25001,25.62501,242400,2.828904,R
1980-01-24,25.74999,26.37501,25.74999,26.12499,61200,2.8841,R
1980-01-25,26.12499,26.12499,25.875,26.12499,12900,2.8841,R
1980-01-28,26.12499,26.12499,25.875,26.00001,63000,2.870303,R
1980-01-29,26.00001,26.25,25.875,26.00001,258000,2.870303,R
1980-01-30,26.00001,26.12499,25.74999,25.74999,45600,2.842702,R
1980-01-31,25.74999,26.00001,25.74999,25.74999,98400,2.842702,R
1980-02-01,25.74999,26.00001,25.74999,25.74999,32400,2.842702,R
1980-02-04,26.00001,26.00001,26.00001,26.00001,33000,2.870303,R
1980-02-05,26.00001,26.25,26.00001,26.12499,23100,2.8841,R
1980-02-06,26.12499,26.25,26.00001,26.00001,44400,2.870303,R
1980-02-07,26.12499,26.37501,26.12499,26.12499,192300,2.8841,R
1980-02-08,26.25,26.25,26.25,26.25,276600,2.897901,R
1980-02-11,26.25,26.37501,26.00001,26.00001,121200,2.870303,R
1980-02-12,25.74999,25.74999,24.62499,24.87501,67500,2.746107,R
1980-02-13,24.87501,25.125,24.75,24.75,199500,2.732306,R
1980-02-14,24.75,25.25001,24.75,24.75,100200,2.732306,R
1980-02-15,24.375,24.375,23.87499,24.00,54900,2.649509,R
1980-02-19,24.00,24.12501,23.75001,24.00,39300,2.649509,R
1980-02-20,24.00,24.24999,23.75001,23.75001,38700,2.621911,R
1980-02-21,23.75001,23.87499,23.25,23.25,116100,2.566712,R
1980-02-22,23.25,23.25,22.74999,22.74999,18300,2.511513,R
1980-02-25,22.62501,22.62501,21.75,22.25001,24300,2.456317,R
1980-02-26,22.25001,22.74999,22.25001,22.74999,233100,2.511513,R
1980-02-27,22.74999,23.12499,22.50,22.50,45600,2.483915,R
1980-02-28,22.50,22.62501,21.99999,21.99999,75000,2.428716,R
1980-02-29,21.99999,22.25001,21.75,21.87501,167700,2.414918,R
1980-03-03,21.62499,21.62499,21.24999,21.375,25800,2.386998,R
1980-03-04,21.375,21.75,21.375,21.375,32400,2.386998,R
1980-03-05,21.375,21.50001,21.12501,21.24999,126900,2.373038,R
1980-03-06,21.24999,21.375,21.24999,21.24999,12300,2.373038,R
1980-03-07,21.24999,21.50001,21.24999,21.50001,32700,2.400958,R
1980-03-10,21.50001,21.50001,20.49999,20.49999,41100,2.289284,R
1980-03-11,20.625,20.87499,20.625,20.87499,110100,2.331161,R
1980-03-12,20.75001,20.75001,20.49999,20.75001,15300,2.317204,R
1980-03-13,20.75001,21.12501,20.75001,20.87499,30600,2.331161,R
1980-03-14,20.625,20.625,20.49999,20.49999,7800,2.289284,R
1980-03-17,20.49999,20.87499,20.49999,20.49999,59400,2.289284,R
1980-03-18,20.49999,20.75001,20.25,20.75001,44700,2.317204,R
1980-03-19,20.75001,20.75001,20.37501,20.37501,22200,2.275327,R
1980-03-20,20.37501,20.37501,20.12499,20.12499,77400,2.247406,R
1980-03-21,20.12499,20.12499,19.25001,19.37499,46200,2.163652,R
1980-03-24,19.37499,19.37499,18.24999,18.75,218700,2.093858,R
1980-03-25,18.50001,18.50001,17.75001,18.00,404700,2.010104,R
1980-03-26,18.00,18.62499,18.00,18.24999,35700,2.038021,R
1980-03-27,18.00,18.00,15.99999,16.25001,344400,1.814678,R
1980-03-28,16.74999,17.49999,16.74999,17.49999,135900,1.954266,R
1980-03-31,17.49999,18.00,17.37501,17.49999,225000,1.954266,R
1980-04-01,17.49999,18.00,17.49999,17.87499,14700,1.996143,R
1980-04-02,18.00,18.24999,18.00,18.12501,30300,2.024064,R
1980-04-03,18.12501,18.375,18.00,18.12501,39900,2.024064,R
1980-04-07,18.00,18.00,17.12499,17.12499,57900,1.912389,R
1980-04-08,17.12499,17.49999,16.875,17.37501,159300,1.940309,R
1980-04-09,17.37501,17.49999,17.37501,17.49999,10200,1.954266,R
1980-04-10,17.49999,17.87499,17.49999,17.87499,172800,1.996143,R
1980-04-11,18.00,18.62499,18.00,18.24999,267600,2.038021,R
1980-04-14,18.24999,18.50001,18.12501,18.375,20400,2.051981,R
1980-04-15,18.62499,18.75,18.62499,18.75,30300,2.093858,R
1980-04-16,18.75,18.99999,18.75,18.99999,47400,2.121775,R
1980-04-17,18.75,18.75,18.24999,18.24999,39900,2.038021,R
1980-04-18,18.24999,18.50001,18.24999,18.50001,70800,2.065941,R
1980-04-21,18.50001,18.50001,18.50001,18.50001,38400,2.065941,R
1980-04-22,18.75,18.99999,18.75,18.99999,42000,2.121775,R
1980-04-23,18.99999,19.37499,18.99999,19.125,59700,2.135735,R
1980-04-24,19.125,19.50,19.125,19.25001,14700,2.149695,R
1980-04-25,19.25001,19.25001,18.62499,18.99999,57900,2.121775,R
1980-04-28,18.99999,18.99999,18.62499,18.75,21900,2.093858,R
