Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1993-04-28,18.25,18.75,18.00,18.25,7821000,6.3581,RCL
1993-04-29,18.25,18.625,18.25,18.625,2118800,6.488746,RCL
1993-04-30,18.75,18.75,18.25,18.375,536800,6.401648,RCL
1993-05-03,18.25,18.375,18.125,18.375,509600,6.401648,RCL
1993-05-04,18.375,18.375,17.875,18.125,787400,6.314551,RCL
1993-05-05,18.00,18.125,17.75,17.75,747200,6.183905,RCL
1993-05-06,17.875,18.00,17.625,17.625,392800,6.140357,RCL
1993-05-07,17.75,17.875,17.625,17.75,180000,6.183905,RCL
1993-05-10,17.875,18.125,17.75,17.75,269600,6.183905,RCL
1993-05-11,17.875,17.875,17.75,17.875,109400,6.227454,RCL
1993-05-12,17.75,17.75,17.375,17.625,110800,6.140357,RCL
1993-05-13,17.625,17.625,17.50,17.50,171000,6.096808,RCL
1993-05-14,17.50,17.75,17.50,17.50,166800,6.096808,RCL
1993-05-17,17.50,17.50,17.125,17.25,132000,6.009711,RCL
1993-05-18,17.25,17.25,16.00,16.50,534400,5.748419,RCL
1993-05-19,16.75,17.125,16.75,16.875,203600,5.879065,RCL
1993-05-20,16.625,16.75,15.875,16.25,1189000,5.661322,RCL
1993-05-21,16.375,16.50,16.00,16.375,475600,5.70487,RCL
1993-05-24,16.50,16.50,16.00,16.25,719200,5.661322,RCL
1993-05-25,16.00,16.125,15.625,15.875,326600,5.530676,RCL
1993-05-26,16.00,16.625,16.00,16.50,209200,5.748419,RCL
1993-05-27,16.75,17.125,16.50,17.00,307800,5.922614,RCL
1993-05-28,17.25,17.625,16.875,17.375,986400,6.053259,RCL
1993-06-01,17.50,17.50,16.875,17.00,116800,5.922614,RCL
1993-06-02,17.00,17.375,16.875,17.375,205200,6.053259,RCL
1993-06-03,17.375,17.375,17.00,17.00,92000,5.922614,RCL
1993-06-04,17.125,17.25,17.00,17.125,118200,5.966162,RCL
1993-06-07,17.00,17.375,17.00,17.25,60000,6.009711,RCL
1993-06-08,17.25,17.25,17.00,17.125,298200,5.966162,RCL
1993-06-09,17.125,17.125,16.875,16.875,27400,5.879065,RCL
1993-06-10,16.875,17.25,16.875,17.125,153600,5.966162,RCL
1993-06-11,17.375,17.625,17.125,17.625,84200,6.140357,RCL
1993-06-14,17.875,18.00,17.50,17.875,434000,6.227454,RCL
1993-06-15,17.75,18.25,17.625,17.75,169600,6.183905,RCL
1993-06-16,17.75,18.125,17.75,17.875,288200,6.227454,RCL
1993-06-17,18.00,18.00,17.625,17.875,165400,6.227454,RCL
1993-06-18,17.875,18.00,17.625,17.75,89400,6.183905,RCL
1993-06-21,17.625,17.875,17.625,17.75,34200,6.183905,RCL
1993-06-22,17.875,18.125,17.625,17.75,143000,6.183905,RCL
1993-06-23,17.75,18.00,17.50,17.50,23600,6.096808,RCL
1993-06-24,17.50,18.00,17.50,17.625,58200,6.140357,RCL
1993-06-25,17.625,18.50,17.625,18.375,370000,6.401648,RCL
1993-06-28,18.375,19.25,18.125,19.125,135200,6.66294,RCL
1993-06-29,19.50,19.50,18.875,19.00,575600,6.619392,RCL
1993-06-30,19.00,19.00,18.75,19.00,132000,6.619392,RCL
1993-07-01,19.00,19.25,18.875,19.25,120800,6.706489,RCL
1993-07-02,19.25,19.50,19.00,19.00,239400,6.619392,RCL
1993-07-06,19.00,19.25,18.625,18.625,87200,6.488746,RCL
1993-07-07,18.75,18.75,18.375,18.50,74400,6.445197,RCL
1993-07-08,18.625,19.125,18.50,19.00,104000,6.619392,RCL
1993-07-09,19.00,19.125,18.875,19.00,302600,6.619392,RCL
1993-07-12,19.125,19.125,18.875,19.00,98200,6.619392,RCL
1993-07-13,19.00,19.125,18.875,19.00,212400,6.619392,RCL
1993-07-14,19.00,19.50,19.00,19.50,153200,6.793586,RCL
1993-07-15,19.50,19.50,19.375,19.50,133800,6.793586,RCL
1993-07-16,19.50,19.50,19.25,19.50,126000,6.793586,RCL
1993-07-19,19.375,19.625,19.375,19.50,244800,6.793586,RCL
1993-07-20,19.50,19.50,19.375,19.50,111000,6.793586,RCL
1993-07-21,19.625,19.875,19.50,19.875,117400,6.924232,RCL
1993-07-22,19.875,20.25,19.875,20.125,240600,7.011329,RCL
1993-07-23,20.125,20.25,19.75,19.75,138200,6.880683,RCL
1993-07-26,19.75,20.125,19.50,20.125,236200,7.011329,RCL
1993-07-27,20.25,20.625,20.25,20.50,259200,7.141975,RCL
1993-07-28,21.50,22.375,21.375,22.125,583200,7.708107,RCL
1993-07-29,22.375,23.375,22.25,22.875,344800,7.969399,RCL
1993-07-30,23.00,23.375,22.875,23.375,217800,8.143594,RCL
1993-08-02,23.375,23.75,23.25,23.25,511400,8.100045,RCL
1993-08-03,23.25,23.25,22.25,23.00,161000,8.012948,RCL
1993-08-04,22.75,23.75,22.75,23.625,129200,8.230691,RCL
1993-08-05,23.75,24.625,23.75,24.375,270200,8.491983,RCL
1993-08-06,24.125,24.25,23.75,23.875,397600,8.317788,RCL
1993-08-09,23.875,24.125,23.75,24.00,148200,8.361337,RCL
1993-08-10,24.00,24.00,23.25,23.375,104000,8.143594,RCL
1993-08-11,23.375,23.75,23.375,23.50,77400,8.187142,RCL
1993-08-12,23.50,23.50,22.875,23.50,64000,8.187142,RCL
1993-08-13,23.50,23.50,23.125,23.375,17600,8.143594,RCL
1993-08-16,23.375,23.50,23.00,23.50,119600,8.187142,RCL
1993-08-17,23.25,23.875,23.25,23.875,82800,8.317788,RCL
1993-08-18,24.00,24.50,24.00,24.00,98800,8.361337,RCL
1993-08-19,24.00,24.25,23.625,24.25,96600,8.448434,RCL
1993-08-20,24.00,24.125,23.625,24.00,43600,8.361337,RCL
1993-08-23,23.875,24.00,23.75,24.00,280200,8.361337,RCL
1993-08-24,24.00,24.375,24.00,24.125,279000,8.404885,RCL
1993-08-25,24.125,24.625,24.125,24.625,97600,8.57908,RCL
1993-08-26,24.375,24.375,23.875,24.00,258600,8.422905,RCL
1993-08-27,24.125,24.125,22.875,23.125,315800,8.11582,RCL
1993-08-30,23.00,23.625,23.00,23.625,31600,8.291297,RCL
1993-08-31,23.75,23.875,23.625,23.75,58600,8.335167,RCL
1993-09-01,23.75,24.25,23.50,24.125,104000,8.466775,RCL
1993-09-02,24.125,24.875,24.125,24.875,174600,8.72999,RCL
1993-09-03,24.875,25.00,24.375,24.50,349000,8.598382,RCL
1993-09-07,24.125,24.50,24.125,24.375,86200,8.554513,RCL
1993-09-08,24.375,24.375,24.00,24.125,123000,8.466775,RCL
1993-09-09,23.875,24.125,23.75,23.875,41200,8.379036,RCL
1993-09-10,23.625,23.75,23.375,23.50,126000,8.247428,RCL
1993-09-13,23.75,23.75,23.50,23.625,143600,8.291297,RCL
1993-09-14,23.50,23.50,22.625,22.875,412400,8.028082,RCL
1993-09-15,22.625,22.875,22.50,22.875,195200,8.028082,RCL
1993-09-16,22.875,23.25,22.75,23.125,125400,8.11582,RCL
1993-09-17,23.00,23.25,23.00,23.125,227600,8.11582,RCL
1993-09-20,23.375,23.75,23.375,23.75,48200,8.335167,RCL
1993-09-21,23.625,23.875,23.125,23.125,17600,8.11582,RCL
1993-09-22,23.125,23.375,23.00,23.375,47800,8.203559,RCL
1993-09-23,23.50,24.25,23.50,24.00,218600,8.422905,RCL
1993-09-24,24.125,24.25,23.875,24.00,43600,8.422905,RCL
1993-09-27,24.125,24.25,23.75,23.875,44600,8.379036,RCL
1993-09-28,23.875,24.00,23.625,24.00,24200,8.422905,RCL
1993-09-29,24.25,24.25,24.00,24.25,16800,8.510644,RCL
1993-09-30,24.125,24.75,24.125,24.50,36000,8.598382,RCL
1993-10-01,24.50,24.875,24.00,24.00,87200,8.422905,RCL
1993-10-04,24.00,24.125,23.875,23.875,87600,8.379036,RCL
1993-10-05,23.875,24.00,23.75,23.875,20400,8.379036,RCL
1993-10-06,24.00,24.50,24.00,24.50,29400,8.598382,RCL
1993-10-07,24.50,24.75,24.25,24.375,50400,8.554513,RCL
1993-10-08,24.375,24.375,23.50,23.625,287000,8.291297,RCL
1993-10-11,23.75,24.125,23.75,24.00,9000,8.422905,RCL
1993-10-12,24.00,24.375,24.00,24.125,11000,8.466775,RCL
1993-10-13,24.375,24.375,24.00,24.00,26200,8.422905,RCL
1993-10-14,24.00,24.00,23.375,23.625,50600,8.291297,RCL
1993-10-15,23.625,23.625,23.125,23.50,146000,8.247428,RCL
1993-10-18,24.00,25.625,24.00,25.50,500800,8.949337,RCL
1993-10-19,25.375,25.375,24.75,25.125,179400,8.817729,RCL
1993-10-20,25.00,25.00,24.375,24.50,159800,8.598382,RCL
1993-10-21,24.50,25.25,24.50,25.125,84200,8.817729,RCL
1993-10-22,25.125,25.50,25.00,25.50,157400,8.949337,RCL
1993-10-25,25.50,27.00,25.50,26.25,230200,9.212553,RCL
1993-10-26,26.375,27.25,26.00,26.50,145400,9.300291,RCL
1993-10-27,26.75,27.50,26.75,27.00,426600,9.475768,RCL
1993-10-28,27.00,27.50,26.875,27.00,369800,9.475768,RCL
1993-10-29,27.00,27.00,26.50,26.50,81600,9.300291,RCL
1993-11-01,26.375,27.25,26.375,27.00,121600,9.475768,RCL
1993-11-02,26.75,26.875,26.00,26.375,98200,9.256422,RCL
1993-11-03,26.375,26.375,26.00,26.125,16200,9.168683,RCL
1993-11-04,26.00,26.00,25.50,25.50,21200,8.949337,RCL
1993-11-05,25.25,25.25,23.50,24.75,102000,8.686121,RCL
1993-11-08,24.75,25.125,24.75,24.875,35000,8.72999,RCL
1993-11-09,24.875,25.25,24.875,25.00,161200,8.77386,RCL
1993-11-10,25.00,25.625,24.875,25.50,175000,8.949337,RCL
1993-11-11,25.625,25.75,25.50,25.625,116400,8.993206,RCL
1993-11-12,25.625,25.75,25.50,25.625,21000,8.993206,RCL
1993-11-15,25.625,26.125,25.375,26.125,17800,9.168683,RCL
1993-11-16,26.75,26.75,26.375,26.50,115600,9.300291,RCL
1993-11-17,26.625,26.75,26.25,26.50,53200,9.300291,RCL
1993-11-18,26.50,26.50,25.625,25.625,69200,8.993206,RCL
1993-11-19,25.75,25.75,25.375,25.625,16400,8.993206,RCL
