Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1989-06-23,11.00,11.75,11.00,11.50,23190400,0.528496,SYMC
1989-06-26,11.50,12.50,11.50,12.25,7321600,0.562963,SYMC
1989-06-27,12.25,12.25,11.75,11.75,3054400,0.539985,SYMC
1989-06-28,11.75,12.25,11.50,11.50,2972800,0.528496,SYMC
1989-06-29,11.50,11.75,11.25,11.25,977600,0.517007,SYMC
1989-06-30,11.25,11.75,11.25,11.25,1406400,0.517007,SYMC
1989-07-03,11.25,11.75,11.25,11.75,94400,0.539985,SYMC
1989-07-05,11.25,11.25,11.25,11.25,137600,0.517007,SYMC
1989-07-06,11.25,11.75,11.25,11.50,161600,0.528496,SYMC
1989-07-07,11.50,11.75,11.25,11.625,1040000,0.534241,SYMC
1989-07-10,11.625,12.00,11.50,11.50,419200,0.528496,SYMC
1989-07-11,11.75,12.25,11.75,11.75,2067200,0.539985,SYMC
1989-07-12,11.75,12.25,11.75,11.75,91200,0.539985,SYMC
1989-07-13,11.75,12.25,11.75,11.75,59200,0.539985,SYMC
1989-07-14,11.75,12.00,11.75,11.75,219200,0.539985,SYMC
1989-07-17,12.00,12.00,12.00,12.00,577600,0.551474,SYMC
1989-07-18,12.00,12.00,11.50,12.00,316800,0.551474,SYMC
1989-07-19,12.00,12.75,11.75,12.50,3595200,0.574452,SYMC
1989-07-20,12.50,13.25,12.50,13.00,1297600,0.597431,SYMC
1989-07-21,13.00,13.00,12.50,12.75,337600,0.585942,SYMC
1989-07-24,12.75,12.75,12.25,12.50,233600,0.574452,SYMC
1989-07-25,12.50,12.75,12.50,12.50,446400,0.574452,SYMC
1989-07-26,12.50,12.75,12.50,12.75,587200,0.585942,SYMC
1989-07-27,12.75,12.75,12.50,12.75,683200,0.585942,SYMC
1989-07-28,12.75,13.00,12.50,12.50,75200,0.574452,SYMC
1989-07-31,12.50,13.00,12.50,12.75,1432000,0.585942,SYMC
1989-08-01,12.75,12.75,12.50,12.50,576000,0.574452,SYMC
1989-08-02,12.50,12.75,12.50,12.50,48000,0.574452,SYMC
1989-08-03,12.50,12.75,12.50,12.75,2366400,0.585942,SYMC
1989-08-04,12.75,13.00,12.25,13.00,3584000,0.597431,SYMC
1989-08-07,13.25,13.75,13.25,13.50,537600,0.620409,SYMC
1989-08-08,13.50,14.25,13.50,13.75,414400,0.631898,SYMC
1989-08-09,13.75,14.00,13.75,14.00,201600,0.643387,SYMC
1989-08-10,14.25,14.25,14.25,14.25,12800,0.654876,SYMC
1989-08-11,14.25,14.50,13.75,13.75,27200,0.631898,SYMC
1989-08-14,14.00,14.75,14.00,14.75,284800,0.677854,SYMC
1989-08-15,14.75,14.75,14.25,14.50,240000,0.666365,SYMC
1989-08-16,14.50,14.75,14.25,14.25,489600,0.654876,SYMC
1989-08-17,14.25,14.50,14.125,14.125,526400,0.649131,SYMC
1989-08-18,14.125,14.25,13.75,14.00,75200,0.643387,SYMC
1989-08-21,14.00,14.125,13.75,13.875,512000,0.637642,SYMC
1989-08-22,13.875,14.00,13.50,13.50,934400,0.620409,SYMC
1989-08-23,13.50,13.75,13.25,13.50,828800,0.620409,SYMC
1989-08-24,13.50,14.75,13.50,14.00,2080000,0.643387,SYMC
1989-08-25,14.25,14.75,14.25,14.25,172800,0.654876,SYMC
1989-08-28,14.25,14.75,14.25,14.25,99200,0.654876,SYMC
1989-08-29,14.50,14.50,14.50,14.50,64000,0.666365,SYMC
1989-08-30,14.50,14.75,14.00,14.00,4800,0.643387,SYMC
1989-08-31,14.50,14.50,14.50,14.50,16000,0.666365,SYMC
1989-09-01,14.50,14.75,14.25,14.25,36800,0.654876,SYMC
1989-09-05,14.25,14.50,14.00,14.50,65600,0.666365,SYMC
1989-09-06,14.00,14.00,14.00,14.00,30400,0.643387,SYMC
1989-09-07,14.00,14.00,14.00,14.00,8000,0.643387,SYMC
1989-09-08,14.00,14.00,14.00,14.00,24000,0.643387,SYMC
1989-09-11,14.00,14.50,14.00,14.50,81600,0.666365,SYMC
1989-09-12,14.50,14.75,14.50,14.75,105600,0.677854,SYMC
1989-09-13,15.00,15.75,15.00,15.00,88000,0.689343,SYMC
1989-09-14,15.00,15.25,15.00,15.00,32000,0.689343,SYMC
1989-09-15,15.25,15.25,15.25,15.25,1600,0.700832,SYMC
1989-09-18,15.25,15.25,15.00,15.00,44800,0.689343,SYMC
1989-09-19,15.00,15.25,14.875,14.875,140800,0.683598,SYMC
1989-09-20,15.00,15.50,15.00,15.50,347200,0.712321,SYMC
1989-09-21,15.50,15.50,15.00,15.50,569600,0.712321,SYMC
1989-09-22,15.50,15.50,15.00,15.00,24000,0.689343,SYMC
1989-09-25,15.00,15.00,15.00,15.00,1600,0.689343,SYMC
1989-09-26,15.25,16.25,15.25,16.00,1230400,0.735299,SYMC
1989-09-27,15.75,15.75,15.375,15.75,3297600,0.72381,SYMC
1989-09-28,15.75,16.25,15.625,16.25,483200,0.746788,SYMC
1989-09-29,16.25,16.25,15.75,16.00,468800,0.735299,SYMC
1989-10-02,16.00,16.00,15.75,16.00,808000,0.735299,SYMC
1989-10-03,16.00,16.125,15.875,15.875,1067200,0.729555,SYMC
1989-10-04,15.875,16.50,15.75,16.125,2308800,0.741044,SYMC
1989-10-05,16.50,17.50,16.50,17.50,3340800,0.804233,SYMC
1989-10-06,17.50,18.00,17.25,18.00,321600,0.827212,SYMC
1989-10-09,18.00,18.00,17.625,18.00,2980800,0.827212,SYMC
1989-10-10,18.00,18.00,17.50,17.50,59200,0.804233,SYMC
1989-10-11,17.50,17.75,17.375,17.75,174400,0.815723,SYMC
1989-10-12,17.75,17.75,17.75,17.75,000,0.815723,SYMC
1989-10-13,17.75,18.00,17.25,17.25,9129600,0.792744,SYMC
1989-10-16,16.75,16.75,16.25,16.75,124800,0.769766,SYMC
1989-10-17,16.75,16.75,16.75,16.75,35200,0.769766,SYMC
1989-10-18,16.75,17.00,16.50,16.50,17600,0.758277,SYMC
1989-10-19,17.00,17.00,17.00,17.00,6400,0.781255,SYMC
1989-10-20,17.00,17.00,17.00,17.00,3200,0.781255,SYMC
1989-10-23,17.00,17.00,17.00,17.00,000,0.781255,SYMC
1989-10-24,17.00,17.25,16.00,16.50,446400,0.758277,SYMC
