Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1980-03-17,6.625,7.125,6.625,6.625,3200,0.352759,UDR
1980-03-18,6.625,6.625,6.625,6.625,000,0.352759,UDR
1980-03-19,6.625,6.625,6.625,6.625,000,0.352759,UDR
1980-03-20,6.625,6.625,6.625,6.625,000,0.352759,UDR
1980-03-21,6.625,6.625,6.625,6.625,000,0.352759,UDR
1980-03-24,6.625,7.125,6.625,6.625,800,0.352759,UDR
1980-03-25,6.625,7.125,6.625,6.625,800,0.352759,UDR
1980-03-26,6.625,7.125,6.625,6.625,1400,0.352759,UDR
1980-03-27,6.625,7.125,6.625,6.625,1400,0.352759,UDR
1980-03-28,6.625,6.625,6.625,6.625,000,0.352759,UDR
1980-03-31,6.625,6.625,6.625,6.625,000,0.352759,UDR
1980-04-01,6.625,7.125,6.625,6.625,1200,0.352759,UDR
1980-04-02,6.625,6.625,6.625,6.625,000,0.352759,UDR
1980-04-03,6.625,7.125,6.625,6.625,6000,0.352759,UDR
1980-04-07,6.625,7.125,6.625,6.625,3000,0.352759,UDR
1980-04-08,6.625,6.625,6.625,6.625,000,0.352759,UDR
1980-04-09,6.625,6.625,6.625,6.625,000,0.352759,UDR
1980-04-10,6.625,7.125,6.625,6.625,600,0.352759,UDR
1980-04-11,6.625,7.125,6.625,6.625,8400,0.352759,UDR
1980-04-14,6.625,7.125,6.625,6.625,800,0.352759,UDR
1980-04-15,6.625,7.125,6.625,6.625,5000,0.352759,UDR
1980-04-16,6.625,7.00,6.50,6.50,1400,0.346103,UDR
1980-04-17,6.50,6.50,6.50,6.50,000,0.346103,UDR
1980-04-18,6.50,6.50,6.50,6.50,000,0.346103,UDR
1980-04-21,6.50,6.50,6.50,6.50,000,0.346103,UDR
1980-04-22,6.50,6.50,6.50,6.50,000,0.346103,UDR
1980-04-23,6.50,7.00,6.50,6.50,1800,0.346103,UDR
1980-04-24,6.50,7.00,6.50,6.50,200,0.346103,UDR
1980-04-25,6.50,6.50,6.50,6.50,000,0.346103,UDR
1980-04-28,6.50,6.50,6.50,6.50,000,0.346103,UDR
