Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1982-01-04,23.999996,24.249998,23.625016,24.125019,321100,2.220174,VLO
1982-01-05,23.625016,24.125019,22.999993,23.749996,442400,2.185661,VLO
1982-01-06,22.625013,23.375016,21.749989,22.375013,565800,2.059125,VLO
1982-01-07,21.99999,22.375013,21.499987,21.87501,508900,2.01311,VLO
1982-01-08,21.99999,22.24999,21.749989,21.99999,340400,2.024612,VLO
1982-01-11,21.249987,22.24999,20.249984,20.625007,521100,1.898075,VLO
1982-01-12,20.749984,21.125008,20.375005,21.125008,473400,1.944089,VLO
1982-01-13,20.625007,21.249987,19.999983,20.249984,313300,1.863563,VLO
1982-01-14,20.625007,21.249987,19.999983,20.875007,260800,1.921082,VLO
1982-01-15,21.249987,21.499987,20.999987,21.499987,185900,1.978598,VLO
1982-01-18,21.249987,21.499987,20.999987,21.37501,208700,1.967096,VLO
1982-01-19,20.249984,21.249987,19.249981,19.625004,1352100,1.806047,VLO
1982-01-20,19.875004,20.249984,19.499981,20.249984,477400,1.863563,VLO
1982-01-21,20.249984,20.375005,19.999983,20.125004,393400,1.852061,VLO
1982-01-22,20.125004,20.375005,19.875004,20.125004,238000,1.852061,VLO
1982-01-25,20.125004,20.375005,19.875004,19.999983,223600,1.840556,VLO
1982-01-26,19.749981,20.249984,19.249981,19.499981,329500,1.794542,VLO
1982-01-27,19.875004,20.249984,19.499981,20.249984,160100,1.863563,VLO
1982-01-28,20.749984,20.999987,20.375005,20.749984,301900,1.909577,VLO
1982-01-29,21.249987,21.499987,20.999987,20.999987,326000,1.932584,VLO
1982-02-01,20.499984,20.749984,20.249984,20.375005,123800,1.875068,VLO
1982-02-02,20.249984,20.375005,19.999983,19.999983,227900,1.840556,VLO
1982-02-03,19.875004,20.249984,19.499981,19.749981,197300,1.817549,VLO
1982-02-04,19.875004,19.999983,19.625004,19.875004,176300,1.829054,VLO
1982-02-05,19.749981,19.999983,19.499981,19.625004,123800,1.813345,VLO
1982-02-08,19.249981,19.625004,18.749978,18.749978,328600,1.732493,VLO
1982-02-09,18.749978,18.999978,18.374998,18.624999,207800,1.720945,VLO
1982-02-10,18.250019,18.875001,17.500017,17.750019,397700,1.640097,VLO
1982-02-11,17.874998,18.250019,17.374995,17.624996,400800,1.628545,VLO
1982-02-12,18.250019,18.500022,17.874998,18.000019,541300,1.663197,VLO
1982-02-16,17.750019,18.000019,17.374995,17.874998,231000,1.651645,VLO
1982-02-17,18.124998,18.250019,17.874998,17.874998,408200,1.651645,VLO
1982-02-18,18.374998,18.624999,18.124998,18.500022,163200,1.709397,VLO
1982-02-19,18.374998,18.500022,18.124998,18.374998,138200,1.697845,VLO
1982-02-22,18.374998,18.999978,17.750019,17.750019,187200,1.640097,VLO
1982-02-23,17.500017,17.874998,17.000016,17.874998,267300,1.651645,VLO
1982-02-24,18.124998,18.500022,17.624996,18.124998,301900,1.674745,VLO
1982-02-25,18.250019,18.624999,17.874998,18.500022,497500,1.709397,VLO
1982-02-26,18.749978,18.875001,18.500022,18.749978,250300,1.732493,VLO
1982-03-01,18.500022,18.875001,18.124998,18.624999,213100,1.720945,VLO
1982-03-02,18.500022,18.875001,18.000019,18.000019,136000,1.663197,VLO
1982-03-03,17.624996,18.000019,17.124994,17.624996,514100,1.628545,VLO
1982-03-04,16.624992,17.124994,16.000013,16.374992,267300,1.513045,VLO
1982-03-05,16.250013,16.874994,15.50001,16.000013,344800,1.478397,VLO
1982-03-08,15.87499,16.624992,15.000008,15.000008,262500,1.385997,VLO
1982-03-09,15.25001,15.750011,14.750008,15.374988,392000,1.420645,VLO
1982-03-10,16.000013,16.750014,15.25001,16.000013,238900,1.478397,VLO
1982-03-11,16.374992,16.624992,16.124991,16.124991,140900,1.489945,VLO
1982-03-12,16.124991,16.374992,15.87499,16.124991,143500,1.489945,VLO
1982-03-15,16.624992,16.874994,16.374992,16.624992,99700,1.536145,VLO
1982-03-16,16.874994,17.250017,16.374992,16.750014,128200,1.547697,VLO
1982-03-17,17.000016,17.124994,16.874994,17.000016,59000,1.570797,VLO
1982-03-18,17.624996,18.000019,17.124994,18.000019,208200,1.663197,VLO
1982-03-19,18.250019,18.500022,17.874998,18.000019,141700,1.663197,VLO
1982-03-22,18.000019,18.250019,17.750019,18.000019,111100,1.663197,VLO
1982-03-23,18.124998,18.500022,17.624996,18.124998,195100,1.674745,VLO
1982-03-24,17.500017,18.124998,16.750014,17.124994,215200,1.582345,VLO
1982-03-25,17.124994,17.500017,16.750014,17.374995,217900,1.605445,VLO
1982-03-26,17.124994,17.374995,16.874994,17.124994,152700,1.582345,VLO
1982-03-29,16.750014,17.000016,16.500014,16.624992,192900,1.536145,VLO
1982-03-30,16.874994,17.124994,16.500014,17.000016,141700,1.570797,VLO
1982-03-31,17.374995,17.750019,17.000016,17.624996,168900,1.628545,VLO
1982-04-01,17.624996,17.750019,17.374995,17.624996,132100,1.628545,VLO
1982-04-02,18.124998,18.500022,17.750019,18.250019,391600,1.686297,VLO
1982-04-05,18.500022,18.749978,18.124998,18.250019,227500,1.686297,VLO
1982-04-06,18.374998,18.500022,18.124998,18.250019,261200,1.686297,VLO
1982-04-07,18.500022,18.749978,18.124998,18.250019,227500,1.686297,VLO
1982-04-08,18.250019,18.500022,18.000019,18.124998,862900,1.674745,VLO
1982-04-12,17.624996,18.250019,16.874994,17.374995,202100,1.605445,VLO
1982-04-13,17.000016,17.374995,16.500014,17.000016,326400,1.570797,VLO
1982-04-14,16.874994,17.250017,16.500014,16.750014,198200,1.547697,VLO
1982-04-15,16.500014,16.750014,16.250013,16.624992,581500,1.536145,VLO
1982-04-16,16.624992,16.874994,16.374992,16.750014,312800,1.547697,VLO
1982-04-19,16.500014,16.750014,16.124991,16.250013,354000,1.501497,VLO
1982-04-20,16.250013,16.374992,16.000013,16.250013,259400,1.501497,VLO
1982-04-21,16.124991,16.250013,16.000013,16.124991,259900,1.489945,VLO
1982-04-22,16.500014,17.000016,15.87499,17.000016,407400,1.570797,VLO
1982-04-23,17.374995,17.624996,17.124994,17.624996,405600,1.628545,VLO
1982-04-26,18.250019,18.624999,17.750019,18.500022,288300,1.709397,VLO
1982-04-27,18.624999,18.999978,18.250019,18.875001,635800,1.744045,VLO
1982-04-28,19.625004,20.375005,18.875001,20.375005,543000,1.882645,VLO
1982-04-29,19.749981,20.125004,19.249981,19.249981,804700,1.778693,VLO
1982-04-30,19.499981,19.875004,19.125001,19.625004,321600,1.813345,VLO
1982-05-03,19.625004,19.875004,19.375002,19.749981,143500,1.824893,VLO
1982-05-04,19.499981,19.749981,19.125001,19.125001,200400,1.767145,VLO
1982-05-05,19.125001,19.375002,18.749978,18.875001,135200,1.744045,VLO
1982-05-06,19.125001,19.249981,18.875001,19.125001,74800,1.774666,VLO
1982-05-07,19.625004,19.875004,19.375002,19.875004,242400,1.844261,VLO
1982-05-10,20.249984,20.499984,19.999983,20.375005,355700,1.890658,VLO
1982-05-11,20.875007,21.499987,20.249984,21.37501,515900,1.983452,VLO
1982-05-12,21.37501,21.749989,20.999987,21.62501,569300,2.00665,VLO
1982-05-13,21.62501,21.749989,21.37501,21.499987,299300,1.995049,VLO
1982-05-14,21.499987,21.62501,21.37501,21.499987,206900,1.995049,VLO
1982-05-17,20.999987,21.499987,20.375005,20.625007,169700,1.913857,VLO
1982-05-18,20.249984,20.499984,19.999983,20.375005,147000,1.890658,VLO
1982-05-19,20.625007,20.999987,20.125004,20.499984,200400,1.902255,VLO
1982-05-20,20.249984,20.375005,19.999983,19.999983,86200,1.855859,VLO
1982-05-21,19.999983,20.249984,19.625004,19.749981,139500,1.83266,VLO
1982-05-24,20.249984,20.375005,19.999983,19.999983,86200,1.855859,VLO
1982-05-25,20.375005,20.499984,20.125004,20.249984,129000,1.879057,VLO
1982-05-26,19.875004,20.125004,19.499981,19.625004,104500,1.821063,VLO
1982-05-27,19.375002,19.499981,19.125001,19.249981,114600,1.786264,VLO
1982-05-28,19.499981,19.749981,19.125001,19.375002,143500,1.797865,VLO
1982-06-01,19.375002,19.499981,19.125001,19.499981,88800,1.809462,VLO
1982-06-02,19.625004,19.999983,19.249981,19.999983,81300,1.855859,VLO
1982-06-03,19.999983,20.249984,19.749981,19.875004,291000,1.844261,VLO
1982-06-04,19.875004,20.125004,19.625004,19.749981,265600,1.83266,VLO
1982-06-07,19.625004,19.749981,19.375002,19.625004,106300,1.821063,VLO
1982-06-08,19.625004,19.749981,19.375002,19.499981,72200,1.809462,VLO
1982-06-09,19.249981,19.499981,18.999978,18.999978,117200,1.763065,VLO
1982-06-10,18.749978,18.875001,18.500022,18.624999,102800,1.72827,VLO
1982-06-11,18.749978,19.375002,18.749978,19.249981,117200,1.786264,VLO
1982-06-14,19.249981,19.375002,18.999978,18.999978,158400,1.763065,VLO
1982-06-15,18.875001,18.999978,18.749978,18.875001,115900,1.751468,VLO
1982-06-16,18.624999,18.999978,18.250019,18.500022,95300,1.716673,VLO
1982-06-17,17.624996,18.000019,17.250017,17.250017,104100,1.600681,VLO
