Date,Open,High,Low,Close,Volume,Adj_Close,Symbol
1983-06-10,50.00,50.75,49.75,50.50,133200,9.91916,WHR
1983-06-13,50.50,51.00,50.25,51.00,237400,10.017369,WHR
1983-06-14,51.625,52.625,51.50,52.125,290400,10.23834,WHR
1983-06-15,53.25,57.00,53.25,54.75,274200,10.75394,WHR
1983-06-16,54.25,55.25,54.00,55.125,246800,10.827597,WHR
1983-06-17,55.25,55.25,53.25,53.75,190400,10.557521,WHR
1983-06-20,54.00,54.50,53.125,53.625,61600,10.532969,WHR
1983-06-21,53.375,53.75,53.25,53.25,143600,10.459312,WHR
1983-06-22,53.00,53.50,52.50,52.75,86000,10.361102,WHR
1983-06-23,52.75,52.75,51.625,52.25,82800,10.262893,WHR
1983-06-24,52.25,52.50,52.00,52.00,170600,10.213788,WHR
1983-06-27,51.625,52.00,51.50,51.875,47200,10.189236,WHR
1983-06-28,51.50,51.75,50.625,50.875,125800,9.992817,WHR
1983-06-29,51.125,51.125,50.125,50.375,164800,9.894607,WHR
1983-06-30,50.50,52.00,50.50,52.00,215000,10.213788,WHR
1983-07-01,52.00,52.00,51.25,52.00,38800,10.213788,WHR
1983-07-05,51.75,51.75,51.00,51.25,123200,10.066474,WHR
1983-07-06,51.25,53.00,51.25,52.50,51400,10.311998,WHR
1983-07-07,52.625,52.75,52.125,52.25,175600,10.262893,WHR
1983-07-08,52.00,52.00,51.00,51.00,225200,10.017369,WHR
1983-07-11,51.25,51.375,50.75,51.00,246200,10.017369,WHR
1983-07-12,51.00,51.25,50.00,50.00,87200,9.82095,WHR
1983-07-13,50.25,50.50,50.00,50.125,59000,9.845502,WHR
1983-07-14,50.625,51.375,50.375,51.125,275600,10.041921,WHR
1983-07-15,51.125,51.75,51.125,51.25,130200,10.066474,WHR
1983-07-18,51.00,51.25,50.375,51.25,513200,10.066474,WHR
1983-07-19,51.50,51.75,51.375,51.625,287200,10.140131,WHR
1983-07-20,51.875,53.25,51.875,52.875,98200,10.385655,WHR
1983-07-21,53.50,54.00,53.25,54.00,281200,10.606626,WHR
1983-07-22,53.125,54.00,52.75,53.00,96200,10.410207,WHR
1983-07-25,53.00,54.375,52.75,54.00,69000,10.606626,WHR
1983-07-26,54.00,54.75,54.00,54.75,200800,10.75394,WHR
1983-07-27,54.25,54.75,53.00,53.00,126000,10.410207,WHR
1983-07-28,52.25,52.50,52.00,52.125,100600,10.23834,WHR
1983-07-29,51.25,51.25,50.75,51.00,330800,10.017369,WHR
1983-08-01,50.75,51.50,50.25,51.25,235800,10.066474,WHR
1983-08-02,51.125,52.00,51.00,51.00,63600,10.017369,WHR
1983-08-03,51.25,51.625,50.75,51.625,209600,10.140131,WHR
1983-08-04,51.75,51.75,49.50,50.25,298400,9.870055,WHR
1983-08-05,50.00,50.00,49.375,49.50,165000,9.722741,WHR
1983-08-08,49.50,49.50,48.25,48.25,150600,9.477217,WHR
1983-08-09,46.00,47.25,46.00,46.50,524400,9.133484,WHR
1983-08-10,45.50,46.625,45.00,46.625,705600,9.158036,WHR
1983-08-11,46.75,47.25,45.75,45.75,94600,8.986169,WHR
1983-08-12,46.00,46.50,45.75,45.75,55000,8.986169,WHR
1983-08-15,46.75,47.00,46.375,46.625,222000,9.158036,WHR
1983-08-16,46.375,46.375,45.50,45.875,116800,9.010722,WHR
1983-08-17,45.625,46.75,45.625,46.50,188400,9.133484,WHR
1983-08-18,46.75,47.50,46.50,46.50,189800,9.133484,WHR
1983-08-19,46.50,46.50,46.25,46.25,48800,9.084379,WHR
1983-08-22,46.50,46.50,46.00,46.25,36600,9.084379,WHR
1983-08-23,46.25,46.25,45.50,45.50,71600,8.937065,WHR
1983-08-24,45.00,45.50,45.00,45.375,237800,9.001539,WHR
1983-08-25,45.25,45.25,44.25,44.625,336400,8.852753,WHR
1983-08-26,44.25,44.75,43.75,44.625,116600,8.852753,WHR
1983-08-29,44.375,44.75,44.25,44.75,72000,8.877551,WHR
1983-08-30,44.75,45.50,44.75,45.50,37000,9.026336,WHR
1983-08-31,45.125,46.375,45.00,46.375,125200,9.19992,WHR
1983-09-01,46.50,47.00,46.25,47.00,53400,9.323908,WHR
1983-09-02,46.75,49.25,46.75,48.375,90000,9.596682,WHR
1983-09-06,49.25,50.00,49.00,49.375,104200,9.795063,WHR
1983-09-07,49.50,49.50,47.625,48.00,220200,9.522289,WHR
1983-09-08,48.00,48.00,47.25,47.75,423600,9.472694,WHR
1983-09-09,47.625,48.00,47.50,47.625,39400,9.447896,WHR
1983-09-12,50.00,50.00,48.00,48.25,136800,9.571884,WHR
1983-09-13,47.25,48.00,47.00,47.50,176400,9.423099,WHR
1983-09-14,47.50,47.625,47.125,47.125,107400,9.348706,WHR
1983-09-15,47.375,47.50,46.75,46.75,74400,9.274313,WHR
1983-09-16,46.50,47.375,46.375,46.875,60200,9.29911,WHR
1983-09-19,47.125,47.75,47.125,47.75,129600,9.472694,WHR
1983-09-20,48.00,49.00,47.75,49.00,305800,9.72067,WHR
1983-09-21,49.00,49.00,47.875,47.875,129400,9.497491,WHR
1983-09-22,47.375,48.25,47.375,47.875,191000,9.497491,WHR
1983-09-23,48.00,48.00,46.25,46.75,310000,9.274313,WHR
1983-09-26,46.75,49.25,46.00,46.50,252600,9.224718,WHR
1983-09-27,46.25,46.25,45.625,45.875,131200,9.100729,WHR
1983-09-28,46.00,46.75,46.00,46.75,124200,9.274313,WHR
1983-09-29,47.00,47.25,46.875,47.00,113200,9.323908,WHR
1983-09-30,46.75,46.875,46.375,46.375,209200,9.19992,WHR
1983-10-03,46.375,46.75,46.25,46.375,229000,9.19992,WHR
1983-10-04,46.625,46.875,46.50,46.75,112800,9.274313,WHR
1983-10-05,46.50,46.75,45.75,46.50,152600,9.224718,WHR
1983-10-06,46.625,47.50,46.625,47.50,252600,9.423099,WHR
1983-10-07,47.50,47.75,47.00,47.25,96000,9.373503,WHR
1983-10-10,47.00,47.50,46.75,47.50,23600,9.423099,WHR
1983-10-11,48.25,49.875,48.00,49.00,348000,9.72067,WHR
1983-10-12,48.75,49.625,48.50,48.75,454200,9.671075,WHR
1983-10-13,49.00,49.25,48.00,48.00,423600,9.522289,WHR
1983-10-14,48.25,48.50,47.75,47.875,251200,9.497491,WHR
1983-10-17,48.50,49.875,48.00,49.50,204400,9.819861,WHR
1983-10-18,50.00,50.00,48.875,48.875,158400,9.695872,WHR
1983-10-19,48.875,49.25,48.125,48.125,171400,9.547087,WHR
1983-10-20,48.00,48.75,48.00,48.25,129800,9.571884,WHR
1983-10-21,47.875,48.625,46.875,47.00,62200,9.323908,WHR
1983-10-24,46.875,48.125,46.875,48.125,78200,9.547087,WHR
1983-10-25,48.125,48.50,48.00,48.50,148600,9.62148,WHR
1983-10-26,48.875,49.50,48.375,48.50,31600,9.62148,WHR
1983-10-27,48.25,48.375,47.00,47.125,736800,9.348706,WHR
1983-10-28,47.25,47.375,47.00,47.00,171000,9.323908,WHR
1983-10-31,46.75,47.00,46.25,46.50,92000,9.224718,WHR
1983-11-01,46.75,46.75,45.25,46.125,205400,9.150325,WHR
1983-11-02,46.375,46.50,46.00,46.25,791600,9.175122,WHR
1983-11-03,46.375,46.375,45.625,45.625,34200,9.051134,WHR
1983-11-04,45.625,45.75,45.25,45.25,211800,8.976741,WHR
1983-11-07,45.375,45.375,45.00,45.25,151600,8.976741,WHR
1983-11-08,45.25,46.125,45.25,46.00,349200,9.125527,WHR
1983-11-09,46.00,46.25,45.50,45.625,157600,9.051134,WHR
1983-11-10,45.00,46.25,44.875,45.75,771400,9.075932,WHR
1983-11-11,45.50,46.25,45.25,46.25,425400,9.175122,WHR
1983-11-14,46.50,48.25,46.50,47.25,498800,9.373503,WHR
1983-11-15,47.50,47.50,47.25,47.375,113800,9.398301,WHR
1983-11-16,47.375,47.75,47.25,47.75,82200,9.472694,WHR
1983-11-17,47.75,48.00,47.625,47.75,111200,9.472694,WHR
1983-11-18,48.00,48.125,47.50,47.50,277800,9.423099,WHR
1983-11-21,47.50,47.75,47.125,47.75,125800,9.472694,WHR
1983-11-22,48.25,49.25,48.25,48.50,432000,9.62148,WHR
1983-11-23,48.75,48.75,48.25,48.375,108800,9.596682,WHR
1983-11-25,48.125,49.50,48.125,49.50,55400,9.819861,WHR
1983-11-28,49.50,51.00,49.25,50.50,324400,10.018242,WHR
1983-11-29,50.875,51.00,50.625,50.875,215400,10.092634,WHR
1983-11-30,51.00,51.125,50.25,50.50,345200,10.018242,WHR
1983-12-01,49.75,50.25,49.75,50.125,105200,10.043287,WHR
1983-12-02,50.125,50.125,49.00,49.125,78400,9.842922,WHR
1983-12-05,49.25,49.25,48.625,49.00,33000,9.817877,WHR
1983-12-06,49.00,49.25,48.75,48.75,87200,9.767785,WHR
1983-12-07,48.875,49.375,48.25,48.375,131200,9.692649,WHR
1983-12-08,48.25,49.00,48.125,48.50,759600,9.717694,WHR
1983-12-09,48.75,49.00,48.625,49.00,180600,9.817877,WHR
1983-12-12,49.25,49.75,48.75,49.75,390600,9.96815,WHR
1983-12-13,49.75,49.75,49.125,49.25,26600,9.867968,WHR
1983-12-14,49.50,49.875,49.00,49.00,261000,9.817877,WHR
1983-12-15,48.25,48.375,47.25,47.875,80800,9.592466,WHR
1983-12-16,47.625,47.75,46.875,46.875,129400,9.392101,WHR
1983-12-19,46.875,48.00,46.75,48.00,217800,9.617512,WHR
1983-12-20,48.00,48.00,47.375,47.50,151600,9.517329,WHR
1983-12-21,48.00,48.25,47.75,48.00,490600,9.617512,WHR
1983-12-22,49.00,49.375,48.50,48.625,46400,9.74274,WHR
1983-12-23,48.875,48.875,48.50,48.75,226400,9.767785,WHR
1983-12-27,48.50,48.75,48.50,48.50,123800,9.717694,WHR
1983-12-28,48.50,48.75,48.50,48.625,170400,9.74274,WHR
1983-12-29,48.75,48.75,48.00,48.375,79600,9.692649,WHR
1983-12-30,48.50,48.50,48.125,48.50,91200,9.717694,WHR
1984-01-03,48.50,48.75,48.00,48.50,29600,9.717694,WHR
1984-01-04,48.50,49.25,48.00,49.25,97600,9.867968,WHR
1984-01-05,49.50,49.75,49.25,49.75,368600,9.96815,WHR
1984-01-06,49.50,49.75,49.125,49.75,323000,9.96815,WHR
1984-01-09,49.75,50.00,49.625,49.75,354200,9.96815,WHR
1984-01-10,49.625,50.00,49.375,49.375,255400,9.893013,WHR
1984-01-11,49.375,49.50,49.00,49.25,56200,9.867968,WHR
1984-01-12,49.00,49.375,48.50,48.625,51400,9.74274,WHR
1984-01-13,49.25,49.25,47.125,47.875,56200,9.592466,WHR
1984-01-16,48.00,48.00,47.75,47.875,79600,9.592466,WHR
1984-01-17,47.75,48.00,47.625,47.625,28200,9.542375,WHR
1984-01-18,47.625,47.625,45.625,46.25,194600,9.266873,WHR
1984-01-19,46.50,47.375,46.50,47.00,213000,9.417147,WHR
1984-01-20,47.25,47.50,46.75,46.75,186200,9.367056,WHR
1984-01-23,46.50,46.625,45.50,45.875,396800,9.191736,WHR
1984-01-24,46.125,46.25,45.50,45.50,342800,9.1166,WHR
1984-01-25,45.50,46.125,45.50,45.50,152400,9.1166,WHR
1984-01-26,45.00,45.125,44.00,44.625,1247400,8.94128,WHR
1984-01-27,44.875,45.00,44.50,44.875,144000,8.991372,WHR
